x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2092,precipitation_2092,air_temperature_2092,ocean_temperature_2092,bed_rock_elevation_2093,precipitation_2093,air_temperature_2093,ocean_temperature_2093,bed_rock_elevation_2094,precipitation_2094,air_temperature_2094,ocean_temperature_2094,ice_velocity
-243200.0,2067200.0,-272.031524658,617.59375,259.110076904,273.757629395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,688.41607666,257.181518555,273.645874023,-281.583007812,361.535583496,259.250061035,273.516967773,229.381195068,616.465942383,256.237121582,274.318969727,431.650848389,925.897827148,251.747528076,274.113494873,-272.461303711,314.47543335,259.204742432,273.861755371,-272.461303711,274.697631836,260.138671875,273.66229248,-272.031524658,490.733215332,259.062164307,273.794067383,8.87893867493
-121600.0,2067200.0,-342.116363525,688.41607666,257.181518555,273.645874023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,617.59375,259.110076904,273.757629395,-706.408569336,215.722000122,256.330444336,273.377502441,229.381195068,616.465942383,256.237121582,274.318969727,431.650848389,925.897827148,251.747528076,274.113494873,475.415100098,524.314208984,252.789672852,274.689208984,-342.386169434,401.03918457,257.220001221,273.632843018,-342.386169434,371.62713623,258.408477783,273.596130371,-342.116363525,584.504150391,257.195556641,273.651428223,0.113429516554
0.0,2067200.0,-706.408569336,215.722000122,256.330444336,273.377502441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,688.41607666,257.181518555,273.645874023,-351.975463867,286.843994141,257.829864502,274.415405273,431.650848389,925.897827148,251.747528076,274.113494873,475.415100098,524.314208984,252.789672852,274.689208984,1870.8293457,337.451843262,246.556396484,274.977630615,-706.806945801,29.2937316895,256.189849854,273.365570068,-706.806945801,-108.541931152,257.503814697,273.379455566,-706.408569336,139.490692139,256.398864746,273.399719238,2065.01342773
121600.0,2067200.0,-351.975463867,286.843994141,257.829864502,274.415405273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706.408569336,215.722000122,256.330444336,273.377502441,0.0,0.0,0.0,0.0,475.415100098,524.314208984,252.789672852,274.689208984,1870.8293457,337.451843262,246.556396484,274.977630615,2463.53466797,400.911804199,244.661117554,275.144836426,-352.939605713,240.209289551,257.686462402,274.385559082,-352.939605713,289.39630127,259.086425781,274.368804932,-351.975463867,319.85067749,257.953277588,274.418579102,71.0011444092
364800.0,2067200.0,189.279205322,181.942749023,257.589019775,275.647888184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,257.340942383,258.001281738,274.274017334,2463.53466797,400.911804199,244.661117554,275.144836426,1396.77966309,242.860961914,245.755615234,275.402770996,515.846557617,397.540283203,249.667327881,275.513793945,188.415267944,275.425445557,257.487487793,275.55682373,188.415267944,418.989379883,259.011627197,275.773254395,189.279205322,431.017883301,257.956878662,275.852142334,27.1324863434
486400.0,2067200.0,-641.497436523,257.340942383,258.001281738,274.274017334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.279205322,181.942749023,257.589019775,275.647888184,-297.077758789,245.020217896,257.941497803,274.43347168,1396.77966309,242.860961914,245.755615234,275.402770996,515.846557617,397.540283203,249.667327881,275.513793945,152.720962524,281.727386475,253.827087402,276.064453125,-642.225585938,395.224029541,257.841827393,274.226043701,-642.225585938,540.445678711,259.438476562,274.270690918,-641.497436523,566.401000977,258.383453369,274.29095459,29.8809261322
608000.0,2067200.0,-297.077758789,245.020217896,257.941497803,274.43347168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,257.340942383,258.001281738,274.274017334,0.0,0.0,0.0,0.0,515.846557617,397.540283203,249.667327881,275.513793945,152.720962524,281.727386475,253.827087402,276.064453125,-588.440063477,174.510620117,256.866027832,275.007385254,-297.791503906,470.812408447,257.784362793,274.385009766,-297.791503906,596.180908203,259.347595215,274.432159424,-297.077758789,608.179138184,258.422515869,274.449737549,114.23033905
-364800.0,1945600.0,-281.583007812,361.535583496,259.250061035,273.516967773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,617.59375,259.110076904,273.757629395,0.0,0.0,0.0,0.0,229.381195068,616.465942383,256.237121582,274.318969727,0.0,0.0,0.0,0.0,-737.13861084,546.620117188,257.477111816,273.753845215,1041.99023438,399.474578857,250.363052368,274.298248291,-282.197662354,100.381256104,259.186920166,273.469818115,-282.197662354,114.023620605,259.716247559,273.432556152,-281.583007812,204.325119019,258.745605469,273.497344971,377.964782715
-243200.0,1945600.0,229.381195068,616.465942383,256.237121582,274.318969727,0.0,0.0,0.0,0.0,-272.031524658,617.59375,259.110076904,273.757629395,-342.116363525,688.41607666,257.181518555,273.645874023,-281.583007812,361.535583496,259.250061035,273.516967773,431.650848389,925.897827148,251.747528076,274.113494873,-737.13861084,546.620117188,257.477111816,273.753845215,1041.99023438,399.474578857,250.363052368,274.298248291,17.648683548,455.990325928,245.04069519,274.300842285,229.218994141,397.598205566,256.561065674,274.260253906,229.218994141,560.225585938,257.285827637,274.466766357,229.381195068,501.287200928,256.11630249,274.377410889,5.71772432327
-121600.0,1945600.0,431.650848389,925.897827148,251.747528076,274.113494873,-272.031524658,617.59375,259.110076904,273.757629395,-342.116363525,688.41607666,257.181518555,273.645874023,-706.408569336,215.722000122,256.330444336,273.377502441,229.381195068,616.465942383,256.237121582,274.318969727,475.415100098,524.314208984,252.789672852,274.689208984,1041.99023438,399.474578857,250.363052368,274.298248291,17.648683548,455.990325928,245.04069519,274.300842285,251.882751465,322.955810547,243.124633789,275.007446289,431.601257324,793.569824219,251.831802368,274.162414551,431.601257324,1069.17529297,252.850814819,274.229309082,431.650848389,874.646911621,251.53112793,274.230072021,0.0817663446069
