x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2061,precipitation_2061,air_temperature_2061,ocean_temperature_2061,bed_rock_elevation_2062,precipitation_2062,air_temperature_2062,ocean_temperature_2062,bed_rock_elevation_2063,precipitation_2063,air_temperature_2063,ocean_temperature_2063,ice_velocity
-364800.0,2067200.0,-352.140380859,592.671142578,265.538909912,272.792236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.036895752,725.876953125,257.487762451,272.970214844,0.0,0.0,0.0,0.0,-283.035491943,434.090759277,257.021850586,272.783538818,229.045135498,516.390869141,254.640670776,272.924285889,-352.279754639,479.660522461,263.704284668,272.868347168,-352.279754639,620.849853516,264.586334229,272.837127686,-352.279754639,644.742004395,264.823242188,272.807342529,150.375198364
-243200.0,2067200.0,-273.036895752,725.876953125,257.487762451,272.970214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.140380859,592.671142578,265.538909912,272.792236328,-342.850189209,883.324951172,256.057037354,272.962677002,-283.035491943,434.090759277,257.021850586,272.783538818,229.045135498,516.390869141,254.640670776,272.924285889,431.59588623,796.484680176,250.094223022,273.006988525,-273.185760498,403.460388184,255.435134888,273.074676514,-273.185760498,666.595581055,256.679626465,273.038085938,-273.185760498,552.482055664,256.901000977,272.987823486,3.12569499016
-121600.0,2067200.0,-342.850189209,883.324951172,256.057037354,272.962677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.036895752,725.876953125,257.487762451,272.970214844,-707.476196289,566.977355957,255.226409912,272.970092773,229.045135498,516.390869141,254.640670776,272.924285889,431.59588623,796.484680176,250.094223022,273.006988525,474.92791748,450.881317139,251.081619263,273.405731201,-342.939575195,488.956054688,254.390731812,273.079650879,-342.939575195,827.424438477,255.166549683,273.078552246,-342.939575195,679.30279541,255.467681885,273.009155273,0.0593432635069
0.0,2067200.0,-707.476196289,566.977355957,255.226409912,272.970092773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.850189209,883.324951172,256.057037354,272.962677002,-355.643280029,443.493103027,256.536346436,273.748352051,431.59588623,796.484680176,250.094223022,273.006988525,474.92791748,450.881317139,251.081619263,273.405731201,1869.50183105,293.621948242,244.803665161,273.625366211,-707.554443359,313.749511719,253.923171997,272.996459961,-707.554443359,534.386047363,254.260040283,273.023223877,-707.554443359,421.506866455,254.533370972,272.983398438,980.975830078
121600.0,2067200.0,-355.643280029,443.493103027,256.536346436,273.748352051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.476196289,566.977355957,255.226409912,272.970092773,0.0,0.0,0.0,0.0,474.92791748,450.881317139,251.081619263,273.405731201,1869.50183105,293.621948242,244.803665161,273.625366211,2461.89477539,391.510894775,243.045593262,273.800354004,-356.683135986,199.764526367,255.507354736,273.846160889,-356.683135986,373.28817749,255.54234314,273.862182617,-356.683135986,333.275054932,255.687316895,273.777557373,28.7227306366
364800.0,2067200.0,186.742538452,398.936553955,256.27520752,274.349761963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-643.465026855,467.700683594,256.899200439,273.786865234,2461.89477539,391.510894775,243.045593262,273.800354004,1395.54528809,257.651123047,244.203353882,274.124786377,514.710876465,459.964385986,247.964935303,274.240722656,186.058410645,291.871063232,255.665435791,274.379669189,186.058410645,326.616149902,255.278335571,274.51574707,186.058410645,315.965606689,255.227005005,274.208618164,28.0148868561
486400.0,2067200.0,-643.465026855,467.700683594,256.899200439,273.786865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.742538452,398.936553955,256.27520752,274.349761963,-299.161865234,510.738586426,256.763427734,273.936401367,1395.54528809,257.651123047,244.203353882,274.124786377,514.710876465,459.964385986,247.964935303,274.240722656,150.962142944,364.724212646,252.159347534,274.609375,-644.058837891,370.120178223,256.626159668,273.834136963,-644.058837891,426.690582275,256.070281982,273.865875244,-644.058837891,398.255126953,256.010650635,273.814117432,27.5949840546
608000.0,2067200.0,-299.161865234,510.738586426,256.763427734,273.936401367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-643.465026855,467.700683594,256.899200439,273.786865234,0.0,0.0,0.0,0.0,514.710876465,459.964385986,247.964935303,274.240722656,150.962142944,364.724212646,252.159347534,274.609375,-590.519226074,463.153717041,255.199920654,274.500671387,-299.899719238,440.19543457,256.838378906,273.982910156,-299.899719238,511.395507812,256.223327637,274.017608643,-299.899719238,478.272216797,255.982177734,273.963928223,172.506530762
-364800.0,1945600.0,-283.035491943,434.090759277,257.021850586,272.783538818,0.0,0.0,0.0,0.0,-352.140380859,592.671142578,265.538909912,272.792236328,-273.036895752,725.876953125,257.487762451,272.970214844,0.0,0.0,0.0,0.0,229.045135498,516.390869141,254.640670776,272.924285889,-383.199951172,540.024780273,256.375671387,273.024139404,-738.505310059,421.963989258,255.279266357,273.043670654,1041.50878906,290.379943848,248.60824585,272.954162598,-283.138397217,261.34197998,255.151306152,272.82711792,-283.138397217,440.284515381,256.327453613,272.829284668,-283.138397217,343.403503418,256.730041504,272.82043457,13.0432243347
-243200.0,1945600.0,229.045135498,516.390869141,254.640670776,272.924285889,-352.140380859,592.671142578,265.538909912,272.792236328,-273.036895752,725.876953125,257.487762451,272.970214844,-342.850189209,883.324951172,256.057037354,272.962677002,-283.035491943,434.090759277,257.021850586,272.783538818,431.59588623,796.484680176,250.094223022,273.006988525,-738.505310059,421.963989258,255.279266357,273.043670654,1041.50878906,290.379943848,248.60824585,272.954162598,17.2938938141,385.01574707,243.272705078,273.082855225,229.101867676,214.519577026,253.125457764,272.891082764,229.101867676,467.262420654,253.807098389,273.097961426,229.101867676,312.286132812,254.051895142,272.910949707,5.51057243347
-121600.0,1945600.0,431.59588623,796.484680176,250.094223022,273.006988525,-273.036895752,725.876953125,257.487762451,272.970214844,-342.850189209,883.324951172,256.057037354,272.962677002,-707.476196289,566.977355957,255.226409912,272.970092773,229.045135498,516.390869141,254.640670776,272.924285889,474.92791748,450.881317139,251.081619263,273.405731201,1041.50878906,290.379943848,248.60824585,272.954162598,17.2938938141,385.01574707,243.272705078,273.082855225,251.150299072,288.623321533,241.371124268,273.368682861,431.719024658,446.1796875,248.728851318,273.045898438,431.719024658,737.036437988,249.085418701,273.172180176,431.719024658,601.440551758,249.288314819,273.015380859,0.0189892817289
0.0,1945600.0,474.92791748,450.881317139,251.081619263,273.405731201,-342.850189209,883.324951172,256.057037354,272.962677002,-707.476196289,566.977355957,255.226409912,272.970092773,-355.643280029,443.493103027,256.536346436,273.748352051,431.59588623,796.484680176,250.094223022,273.006988525,1869.50183105,293.621948242,244.803665161,273.625366211,17.2938938141,385.01574707,243.272705078,273.082855225,251.150299072,288.623321533,241.371124268,273.368682861,1087.30981445,166.78086853,238.317718506,273.504394531,474.931243896,258.256469727,249.842285156,273.376739502,474.931243896,459.215759277,250.13633728,273.511047363,474.931243896,345.686523438,250.223342896,273.30682373,0.0454181060195
121600.0,1945600.0,1869.50183105,293.621948242,244.803665161,273.625366211,-707.476196289,566.977355957,255.226409912,272.970092773,-355.643280029,443.493103027,256.536346436,273.748352051,0.0,0.0,0.0,0.0,474.92791748,450.881317139,251.081619263,273.405731201,2461.89477539,391.510894775,243.045593262,273.800354004,251.150299072,288.623321533,241.371124268,273.368682861,1087.30981445,166.78086853,238.317718506,273.504394531,618.821777344,163.548614502,235.245773315,273.672393799,1869.20385742,164.478042603,243.880706787,273.624389648,1869.20385742,252.673904419,243.909408569,273.769134521,1869.20385742,192.576263428,243.97984314,273.537353516,0.238947555423
243200.0,1945600.0,2461.89477539,391.510894775,243.045593262,273.800354004,-355.643280029,443.493103027,256.536346436,273.748352051,0.0,0.0,0.0,0.0,186.742538452,398.936553955,256.27520752,274.349761963,1869.50183105,293.621948242,244.803665161,273.625366211,1395.54528809,257.651123047,244.203353882,274.124786377,1087.30981445,166.78086853,238.317718506,273.504394531,618.821777344,163.548614502,235.245773315,273.672393799,698.545288086,183.220428467,236.391906738,273.890716553,2461.46948242,296.082244873,242.345779419,273.787322998,2461.46948242,325.440979004,241.970123291,273.93850708,2461.46948242,294.959838867,242.054855347,273.699890137,0.0736735984683
364800.0,1945600.0,1395.54528809,257.651123047,244.203353882,274.124786377,0.0,0.0,0.0,0.0,186.742538452,398.936553955,256.27520752,274.349761963,-643.465026855,467.700683594,256.899200439,273.786865234,2461.89477539,391.510894775,243.045593262,273.800354004,514.710876465,459.964385986,247.964935303,274.240722656,618.821777344,163.548614502,235.245773315,273.672393799,698.545288086,183.220428467,236.391906738,273.890716553,1535.1418457,270.807861328,238.241287231,274.114898682,1395.2364502,207.917724609,243.645797729,274.077362061,1395.2364502,191.357070923,243.095748901,274.236358643,1395.2364502,161.476226807,243.147781372,273.936737061,0.0544427968562
486400.0,1945600.0,514.710876465,459.964385986,247.964935303,274.240722656,186.742538452,398.936553955,256.27520752,274.349761963,-643.465026855,467.700683594,256.899200439,273.786865234,-299.161865234,510.738586426,256.763427734,273.936401367,1395.54528809,257.651123047,244.203353882,274.124786377,150.962142944,364.724212646,252.159347534,274.609375,698.545288086,183.220428467,236.391906738,273.890716553,1535.1418457,270.807861328,238.241287231,274.114898682,1525.97045898,304.885375977,243.180160522,274.406799316,514.409973145,458.046356201,247.631530762,274.227874756,514.409973145,407.2734375,246.95072937,274.404846191,514.409973145,361.567321777,246.919677734,274.105895996,3.1773314476
608000.0,1945600.0,150.962142944,364.724212646,252.159347534,274.609375,-643.465026855,467.700683594,256.899200439,273.786865234,-299.161865234,510.738586426,256.763427734,273.936401367,0.0,0.0,0.0,0.0,514.710876465,459.964385986,247.964935303,274.240722656,-590.519226074,463.153717041,255.199920654,274.500671387,1535.1418457,270.807861328,238.241287231,274.114898682,1525.97045898,304.885375977,243.180160522,274.406799316,583.813903809,230.628616333,247.706665039,274.648895264,150.4427948,447.613708496,252.107055664,274.582336426,150.4427948,362.411499023,251.326171875,274.795379639,150.4427948,290.224609375,251.259719849,274.429656982,10.5775108337
729600.0,1945600.0,-590.519226074,463.153717041,255.199920654,274.500671387,-299.161865234,510.738586426,256.763427734,273.936401367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.962142944,364.724212646,252.159347534,274.609375,0.0,0.0,0.0,0.0,1525.97045898,304.885375977,243.180160522,274.406799316,583.813903809,230.628616333,247.706665039,274.648895264,-119.525756836,308.730865479,251.749084473,275.515106201,-591.187133789,523.369995117,255.514846802,274.547485352,-591.187133789,494.586242676,254.722061157,274.581726074,-591.187133789,391.921508789,254.432510376,274.529083252,261.122894287
972800.0,1945600.0,-204.746490479,308.595336914,258.667053223,274.498168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.437286377,236.946350098,261.492889404,273.347351074,-119.525756836,308.730865479,251.749084473,275.515106201,-597.944030762,294.707702637,255.582565308,274.317169189,-353.78036499,143.560424805,254.321380615,273.488464355,-204.993759155,288.183349609,258.803131104,274.582977295,-204.993759155,401.773132324,258.175933838,274.667053223,-204.993759155,433.314147949,257.704589844,274.605407715,40.4927787781
1094400.0,1945600.0,-269.437286377,236.946350098,261.492889404,273.347351074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.746490479,308.595336914,258.667053223,274.498168945,-303.469299316,33.9371643066,263.119720459,272.506896973,-597.944030762,294.707702637,255.582565308,274.317169189,-353.78036499,143.560424805,254.321380615,273.488464355,-217.685256958,294.212219238,255.199234009,273.015228271,-269.690490723,424.138366699,261.603149414,273.427368164,-269.690490723,489.576782227,260.971343994,273.565002441,-269.690490723,627.17199707,260.560272217,273.500427246,76.7514953613
1216000.0,1945600.0,-303.469299316,33.9371643066,263.119720459,272.506896973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.437286377,236.946350098,261.492889404,273.347351074,0.0,0.0,0.0,0.0,-353.78036499,143.560424805,254.321380615,273.488464355,-217.685256958,294.212219238,255.199234009,273.015228271,-363.239929199,336.536529541,260.982269287,272.22088623,-303.632904053,340.29510498,263.499938965,272.649658203,-303.632904053,385.40838623,262.778747559,273.020263672,-303.632904053,438.481536865,262.452514648,272.844024658,410.033996582
-486400.0,1824000.0,-383.199951172,540.024780273,256.375671387,273.024139404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-283.035491943,434.090759277,257.021850586,272.783538818,0.0,0.0,0.0,0.0,-738.505310059,421.963989258,255.279266357,273.043670654,-364.705780029,481.990325928,258.092102051,272.601104736,-400.053405762,341.845947266,254.120727539,273.210083008,-288.807678223,359.752197266,252.832855225,273.181671143,-383.368621826,416.913482666,254.278884888,273.052337646,-383.368621826,608.187927246,255.684463501,273.068817139,-383.368621826,555.366882324,256.467529297,273.065185547,158.825164795
-364800.0,1824000.0,-738.505310059,421.963989258,255.279266357,273.043670654,0.0,0.0,0.0,0.0,-283.035491943,434.090759277,257.021850586,272.783538818,229.045135498,516.390869141,254.640670776,272.924285889,-383.199951172,540.024780273,256.375671387,273.024139404,1041.50878906,290.379943848,248.60824585,272.954162598,-400.053405762,341.845947266,254.120727539,273.210083008,-288.807678223,359.752197266,252.832855225,273.181671143,849.117492676,291.810180664,245.86895752,272.988922119,-738.620666504,293.387481689,253.718276978,273.074523926,-738.620666504,447.183380127,254.534515381,273.091461182,-738.620666504,351.274688721,255.064483643,273.084716797,25.0917644501
-243200.0,1824000.0,1041.50878906,290.379943848,248.60824585,272.954162598,-283.035491943,434.090759277,257.021850586,272.783538818,229.045135498,516.390869141,254.640670776,272.924285889,431.59588623,796.484680176,250.094223022,273.006988525,-738.505310059,421.963989258,255.279266357,273.043670654,17.2938938141,385.01574707,243.272705078,273.082855225,-288.807678223,359.752197266,252.832855225,273.181671143,849.117492676,291.810180664,245.86895752,272.988922119,569.885559082,164.098388672,237.66734314,273.07913208,1041.51989746,147.854156494,247.14414978,272.954711914,1041.51989746,279.869445801,247.797042847,273.061981201,1041.51989746,167.669815063,248.075592041,272.965606689,0.82002133131
-121600.0,1824000.0,17.2938938141,385.01574707,243.272705078,273.082855225,229.045135498,516.390869141,254.640670776,272.924285889,431.59588623,796.484680176,250.094223022,273.006988525,474.92791748,450.881317139,251.081619263,273.405731201,1041.50878906,290.379943848,248.60824585,272.954162598,251.150299072,288.623321533,241.371124268,273.368682861,849.117492676,291.810180664,245.86895752,272.988922119,569.885559082,164.098388672,237.66734314,273.07913208,464.625183105,164.763565063,235.492370605,273.238372803,17.3202571869,200.518600464,241.735717773,273.106048584,17.3202571869,354.397644043,242.154876709,273.18762207,17.3202571869,256.130432129,242.531951904,273.080627441,0.459873408079
0.0,1824000.0,251.150299072,288.623321533,241.371124268,273.368682861,431.59588623,796.484680176,250.094223022,273.006988525,474.92791748,450.881317139,251.081619263,273.405731201,1869.50183105,293.621948242,244.803665161,273.625366211,17.2938938141,385.01574707,243.272705078,273.082855225,1087.30981445,166.78086853,238.317718506,273.504394531,569.885559082,164.098388672,237.66734314,273.07913208,464.625183105,164.763565063,235.492370605,273.238372803,132.349380493,124.352661133,234.907409668,273.340454102,251.066421509,162.060668945,239.932220459,273.379852295,251.066421509,302.617767334,240.226455688,273.502044678,251.066421509,210.571975708,240.458526611,273.263458252,256.765686035
121600.0,1824000.0,1087.30981445,166.78086853,238.317718506,273.504394531,474.92791748,450.881317139,251.081619263,273.405731201,1869.50183105,293.621948242,244.803665161,273.625366211,2461.89477539,391.510894775,243.045593262,273.800354004,251.150299072,288.623321533,241.371124268,273.368682861,618.821777344,163.548614502,235.245773315,273.672393799,464.625183105,164.763565063,235.492370605,273.238372803,132.349380493,124.352661133,234.907409668,273.340454102,391.364685059,103.177276611,232.755477905,273.483154297,1087.09570312,92.9090957642,236.988861084,273.4972229,1087.09570312,160.876235962,237.05305481,273.61416626,1087.09570312,104.85332489,237.27394104,273.411621094,15.0230827332
243200.0,1824000.0,618.821777344,163.548614502,235.245773315,273.672393799,1869.50183105,293.621948242,244.803665161,273.625366211,2461.89477539,391.510894775,243.045593262,273.800354004,1395.54528809,257.651123047,244.203353882,274.124786377,1087.30981445,166.78086853,238.317718506,273.504394531,698.545288086,183.220428467,236.391906738,273.890716553,132.349380493,124.352661133,234.907409668,273.340454102,391.364685059,103.177276611,232.755477905,273.483154297,352.023773193,115.561645508,231.674621582,273.679870605,618.562561035,119.097114563,234.234558105,273.654754639,618.562561035,137.806213379,233.825195312,273.78036499,618.562561035,102.590698242,234.093215942,273.573364258,1.01037108898
364800.0,1824000.0,698.545288086,183.220428467,236.391906738,273.890716553,2461.89477539,391.510894775,243.045593262,273.800354004,1395.54528809,257.651123047,244.203353882,274.124786377,514.710876465,459.964385986,247.964935303,274.240722656,618.821777344,163.548614502,235.245773315,273.672393799,1535.1418457,270.807861328,238.241287231,274.114898682,391.364685059,103.177276611,232.755477905,273.483154297,352.023773193,115.561645508,231.674621582,273.679870605,605.258789062,138.85508728,233.120620728,273.886474609,698.357543945,170.681747437,235.731140137,273.860290527,698.357543945,139.37512207,235.05317688,274.001800537,698.357543945,104.326316833,235.194610596,273.76550293,6.94701862335
486400.0,1824000.0,1535.1418457,270.807861328,238.241287231,274.114898682,1395.54528809,257.651123047,244.203353882,274.124786377,514.710876465,459.964385986,247.964935303,274.240722656,150.962142944,364.724212646,252.159347534,274.609375,698.545288086,183.220428467,236.391906738,273.890716553,1525.97045898,304.885375977,243.180160522,274.406799316,352.023773193,115.561645508,231.674621582,273.679870605,605.258789062,138.85508728,233.120620728,273.886474609,1260.95837402,139.982437134,236.096313477,274.106201172,1535.02758789,326.075439453,237.90045166,274.077056885,1535.02758789,232.743652344,237.067352295,274.238769531,1535.02758789,188.838653564,237.140625,273.967926025,8.86465549469
608000.0,1824000.0,1525.97045898,304.885375977,243.180160522,274.406799316,514.710876465,459.964385986,247.964935303,274.240722656,150.962142944,364.724212646,252.159347534,274.609375,-590.519226074,463.153717041,255.199920654,274.500671387,1535.1418457,270.807861328,238.241287231,274.114898682,583.813903809,230.628616333,247.706665039,274.648895264,605.258789062,138.85508728,233.120620728,273.886474609,1260.95837402,139.982437134,236.096313477,274.106201172,997.064331055,128.91595459,238.824432373,274.305480957,1525.87658691,444.746887207,243.053222656,274.346038818,1525.87658691,316.550506592,242.252716064,274.533630371,1525.87658691,248.966949463,242.137390137,274.214447021,11.5311775208
729600.0,1824000.0,583.813903809,230.628616333,247.706665039,274.648895264,150.962142944,364.724212646,252.159347534,274.609375,-590.519226074,463.153717041,255.199920654,274.500671387,0.0,0.0,0.0,0.0,1525.97045898,304.885375977,243.180160522,274.406799316,-119.525756836,308.730865479,251.749084473,275.515106201,1260.95837402,139.982437134,236.096313477,274.106201172,997.064331055,128.91595459,238.824432373,274.305480957,1878.21435547,285.478302002,240.818908691,274.409729004,583.602539062,429.438354492,247.914764404,274.567871094,583.602539062,288.547851562,246.918151855,274.783721924,583.602539062,204.499679565,246.796813965,274.439300537,0.0625008419156
851200.0,1824000.0,-119.525756836,308.730865479,251.749084473,275.515106201,-590.519226074,463.153717041,255.199920654,274.500671387,0.0,0.0,0.0,0.0,-204.746490479,308.595336914,258.667053223,274.498168945,583.813903809,230.628616333,247.706665039,274.648895264,-597.944030762,294.707702637,255.582565308,274.317169189,997.064331055,128.91595459,238.824432373,274.305480957,1878.21435547,285.478302002,240.818908691,274.409729004,-166.887420654,219.389816284,246.788406372,273.850524902,-119.797775269,546.25958252,252.253707886,275.268066406,-119.797775269,387.207641602,251.197174072,275.495880127,-119.797775269,314.524108887,250.902435303,274.939239502,0.0248230006546
972800.0,1824000.0,-597.944030762,294.707702637,255.582565308,274.317169189,0.0,0.0,0.0,0.0,-204.746490479,308.595336914,258.667053223,274.498168945,-269.437286377,236.946350098,261.492889404,273.347351074,-119.525756836,308.730865479,251.749084473,275.515106201,-353.78036499,143.560424805,254.321380615,273.488464355,1878.21435547,285.478302002,240.818908691,274.409729004,-166.887420654,219.389816284,246.788406372,273.850524902,-0.637692272663,145.79335022,248.784072876,274.393066406,-598.264099121,524.963745117,256.051574707,274.382324219,-598.264099121,411.2762146,255.081344604,274.418487549,-598.264099121,371.268249512,254.778045654,274.353729248,1906.31665039
1094400.0,1824000.0,-353.78036499,143.560424805,254.321380615,273.488464355,-204.746490479,308.595336914,258.667053223,274.498168945,-269.437286377,236.946350098,261.492889404,273.347351074,-303.469299316,33.9371643066,263.119720459,272.506896973,-597.944030762,294.707702637,255.582565308,274.317169189,-217.685256958,294.212219238,255.199234009,273.015228271,-166.887420654,219.389816284,246.788406372,273.850524902,-0.637692272663,145.79335022,248.784072876,274.393066406,206.800949097,185.451416016,249.133789062,273.730072021,-354.201721191,334.980041504,254.839050293,273.551177979,-354.201721191,285.711975098,253.992492676,273.588104248,-354.201721191,264.985076904,253.672546387,273.523956299,42.5459136963
1216000.0,1824000.0,-217.685256958,294.212219238,255.199234009,273.015228271,-269.437286377,236.946350098,261.492889404,273.347351074,-303.469299316,33.9371643066,263.119720459,272.506896973,0.0,0.0,0.0,0.0,-353.78036499,143.560424805,254.321380615,273.488464355,-363.239929199,336.536529541,260.982269287,272.22088623,-0.637692272663,145.79335022,248.784072876,274.393066406,206.800949097,185.451416016,249.133789062,273.730072021,155.414855957,553.152954102,251.717453003,272.965270996,-217.801132202,717.238464355,256.074920654,273.093505859,-217.801132202,496.451721191,255.183532715,273.231445312,-217.801132202,421.481506348,254.923065186,273.166320801,8.56048297882
