x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2050,precipitation_2050,air_temperature_2050,ocean_temperature_2050,bed_rock_elevation_2051,precipitation_2051,air_temperature_2051,ocean_temperature_2051,bed_rock_elevation_2052,precipitation_2052,air_temperature_2052,ocean_temperature_2052,ice_velocity
-364800.0,2067200.0,-352.375183105,712.698059082,263.677459717,272.502502441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.303894043,725.228637695,256.128997803,272.618041992,0.0,0.0,0.0,0.0,-283.134063721,439.618530273,255.841003418,272.57723999,229.213912964,463.235168457,253.517303467,272.791595459,-352.375183105,553.107116699,263.484588623,272.518859863,-352.375183105,740.707580566,263.601654053,272.589782715,-352.375183105,808.244384766,262.78515625,272.641448975,159.895294189
-243200.0,2067200.0,-273.303894043,725.228637695,256.128997803,272.618041992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.375183105,712.698059082,263.677459717,272.502502441,-343.093780518,804.697387695,254.751693726,272.75,-283.134063721,439.618530273,255.841003418,272.57723999,229.213912964,463.235168457,253.517303467,272.791595459,431.901672363,680.792785645,248.826904297,272.789733887,-273.303894043,494.513244629,254.750930786,272.583282471,-273.303894043,726.257324219,255.415817261,272.677581787,-273.303894043,760.212890625,255.235107422,272.751220703,3.24772238731
-121600.0,2067200.0,-343.093780518,804.697387695,254.751693726,272.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.303894043,725.228637695,256.128997803,272.618041992,-707.652099609,508.588256836,253.890335083,272.870239258,229.213912964,463.235168457,253.517303467,272.791595459,431.901672363,680.792785645,248.826904297,272.789733887,475.019958496,380.063171387,249.705474854,273.077331543,-343.093780518,586.734619141,253.466110229,272.79019165,-343.093780518,805.088256836,253.920684814,272.842468262,-343.093780518,765.738647461,253.917770386,272.873138428,0.0691215619445
0.0,2067200.0,-707.652099609,508.588256836,253.890335083,272.870239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.093780518,804.697387695,254.751693726,272.75,-357.627075195,328.200195312,255.120422363,273.533752441,431.901672363,680.792785645,248.826904297,272.789733887,475.019958496,380.063171387,249.705474854,273.077331543,1868.97094727,221.468917847,243.294387817,273.376647949,-707.652099609,332.371704102,252.774887085,272.87298584,-707.652099609,487.953857422,253.023452759,272.890777588,-707.652099609,485.650360107,253.166717529,272.912200928,767.972473145
121600.0,2067200.0,-357.627075195,328.200195312,255.120422363,273.533752441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.652099609,508.588256836,253.890335083,272.870239258,0.0,0.0,0.0,0.0,475.019958496,380.063171387,249.705474854,273.077331543,1868.97094727,221.468917847,243.294387817,273.376647949,2461.1027832,295.598114014,241.427627563,273.590454102,-357.627075195,202.482406616,254.343765259,273.576507568,-357.627075195,341.435760498,254.300628662,273.630523682,-357.627075195,394.572631836,254.54385376,273.651092529,42.8327331543
364800.0,2067200.0,185.400192261,305.245300293,254.708099365,273.968597412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-644.592285156,362.109680176,255.374389648,273.686981201,2461.1027832,295.598114014,241.427627563,273.590454102,1394.98034668,137.661987305,242.63243103,273.818878174,514.171447754,305.591552734,246.315185547,273.913116455,185.400192261,140.365493774,254.436508179,274.048583984,185.400192261,340.133392334,254.170608521,274.014862061,185.400192261,349.964477539,254.307510376,273.91027832,28.6801109314
486400.0,2067200.0,-644.592285156,362.109680176,255.374389648,273.686981201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.400192261,305.245300293,254.708099365,273.968597412,-300.403533936,404.985198975,255.166793823,273.835418701,1394.98034668,137.661987305,242.63243103,273.818878174,514.171447754,305.591552734,246.315185547,273.913116455,150.012619019,190.752471924,250.598770142,274.254241943,-644.592285156,195.488098145,255.294586182,273.691223145,-644.592285156,413.599060059,254.952224731,273.704772949,-644.592285156,425.218566895,255.218017578,273.724822998,23.1167812347
608000.0,2067200.0,-300.403533936,404.985198975,255.166793823,273.835418701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-644.592285156,362.109680176,255.374389648,273.686981201,0.0,0.0,0.0,0.0,514.171447754,305.591552734,246.315185547,273.913116455,150.012619019,190.752471924,250.598770142,274.254241943,-591.705871582,277.080566406,253.712860107,274.405883789,-300.403533936,280.51348877,255.387771606,273.837738037,-300.403533936,465.479187012,254.886962891,273.85244751,-300.403533936,501.165100098,255.223724365,273.870544434,41.6159439087
-364800.0,1945600.0,-283.134063721,439.618530273,255.841003418,272.57723999,0.0,0.0,0.0,0.0,-352.375183105,712.698059082,263.677459717,272.502502441,-273.303894043,725.228637695,256.128997803,272.618041992,0.0,0.0,0.0,0.0,229.213912964,463.235168457,253.517303467,272.791595459,-383.487579346,541.355041504,255.137496948,272.83984375,-738.629455566,420.121826172,254.355194092,272.859588623,1041.60644531,273.664886475,247.621887207,272.852478027,-283.134063721,274.554656982,254.573226929,272.584259033,-283.134063721,491.079772949,255.377838135,272.640930176,-283.134063721,531.012817383,255.164779663,272.695922852,13.4847726822
-243200.0,1945600.0,229.213912964,463.235168457,253.517303467,272.791595459,-352.375183105,712.698059082,263.677459717,272.502502441,-273.303894043,725.228637695,256.128997803,272.618041992,-343.093780518,804.697387695,254.751693726,272.75,-283.134063721,439.618530273,255.841003418,272.57723999,431.901672363,680.792785645,248.826904297,272.789733887,-738.629455566,420.121826172,254.355194092,272.859588623,1041.60644531,273.664886475,247.621887207,272.852478027,17.4192466736,316.87677002,242.010498047,272.885437012,229.213912964,229.851287842,252.18812561,272.816162109,229.213912964,482.951568604,252.572357178,272.814117432,229.213912964,466.336608887,252.721588135,272.704956055,5.4848818779
-121600.0,1945600.0,431.901672363,680.792785645,248.826904297,272.789733887,-273.303894043,725.228637695,256.128997803,272.618041992,-343.093780518,804.697387695,254.751693726,272.75,-707.652099609,508.588256836,253.890335083,272.870239258,229.213912964,463.235168457,253.517303467,272.791595459,475.019958496,380.063171387,249.705474854,273.077331543,1041.60644531,273.664886475,247.621887207,272.852478027,17.4192466736,316.87677002,242.010498047,272.885437012,251.055633545,229.028442383,239.798828125,273.196075439,431.901672363,455.168395996,247.555252075,272.822143555,431.901672363,699.137512207,247.853424072,272.868408203,431.901672363,646.130859375,248.105484009,272.865020752,0.0190203282982
0.0,1945600.0,475.019958496,380.063171387,249.705474854,273.077331543,-343.093780518,804.697387695,254.751693726,272.75,-707.652099609,508.588256836,253.890335083,272.870239258,-357.627075195,328.200195312,255.120422363,273.533752441,431.901672363,680.792785645,248.826904297,272.789733887,1868.97094727,221.468917847,243.294387817,273.376647949,17.4192466736,316.87677002,242.010498047,272.885437012,251.055633545,229.028442383,239.798828125,273.196075439,1086.94628906,108.568489075,236.662567139,273.300964355,475.019958496,233.57951355,248.645523071,273.143585205,475.019958496,393.347259521,248.781600952,273.095428467,475.019958496,377.751556396,249.083206177,273.076599121,0.0437837019563
121600.0,1945600.0,1868.97094727,221.468917847,243.294387817,273.376647949,-707.652099609,508.588256836,253.890335083,272.870239258,-357.627075195,328.200195312,255.120422363,273.533752441,0.0,0.0,0.0,0.0,475.019958496,380.063171387,249.705474854,273.077331543,2461.1027832,295.598114014,241.427627563,273.590454102,251.055633545,229.028442383,239.798828125,273.196075439,1086.94628906,108.568489075,236.662567139,273.300964355,618.36138916,93.1391601562,233.550109863,273.459564209,1868.97094727,98.1799545288,242.512664795,273.467163086,1868.97094727,245.024047852,242.554656982,273.426696777,1868.97094727,227.652130127,242.797317505,273.336425781,0.238627821207
243200.0,1945600.0,2461.1027832,295.598114014,241.427627563,273.590454102,-357.627075195,328.200195312,255.120422363,273.533752441,0.0,0.0,0.0,0.0,185.400192261,305.245300293,254.708099365,273.968597412,1868.97094727,221.468917847,243.294387817,273.376647949,1394.98034668,137.661987305,242.63243103,273.818878174,1086.94628906,108.568489075,236.662567139,273.300964355,618.36138916,93.1391601562,233.550109863,273.459564209,698.225769043,83.110824585,234.707901001,273.641540527,2461.1027832,187.817474365,240.751907349,273.683746338,2461.1027832,322.262542725,240.833297729,273.663665771,2461.1027832,324.561279297,240.993133545,273.546020508,0.0709072351456
364800.0,1945600.0,1394.98034668,137.661987305,242.63243103,273.818878174,0.0,0.0,0.0,0.0,185.400192261,305.245300293,254.708099365,273.968597412,-644.592285156,362.109680176,255.374389648,273.686981201,2461.1027832,295.598114014,241.427627563,273.590454102,514.171447754,305.591552734,246.315185547,273.913116455,618.36138916,93.1391601562,233.550109863,273.459564209,698.225769043,83.110824585,234.707901001,273.641540527,1534.97167969,142.558502197,236.550491333,273.829559326,1394.98034668,56.0092926025,242.121856689,273.901702881,1394.98034668,184.189117432,242.061203003,273.883300781,1394.98034668,199.170791626,242.199157715,273.73916626,0.0531666390598
486400.0,1945600.0,514.171447754,305.591552734,246.315185547,273.913116455,185.400192261,305.245300293,254.708099365,273.968597412,-644.592285156,362.109680176,255.374389648,273.686981201,-300.403533936,404.985198975,255.166793823,273.835418701,1394.98034668,137.661987305,242.63243103,273.818878174,150.012619019,190.752471924,250.598770142,274.254241943,698.225769043,83.110824585,234.707901001,273.641540527,1534.97167969,142.558502197,236.550491333,273.829559326,1525.85083008,145.477737427,241.536270142,274.091583252,514.171447754,247.817367554,246.129806519,273.949249268,514.171447754,376.585021973,245.895217896,273.957977295,514.171447754,413.887969971,245.980026245,273.840667725,3.16114902496
