x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2093,precipitation_2093,air_temperature_2093,ocean_temperature_2093,bed_rock_elevation_2094,precipitation_2094,air_temperature_2094,ocean_temperature_2094,bed_rock_elevation_2095,precipitation_2095,air_temperature_2095,ocean_temperature_2095,ice_velocity
-243200.0,2067200.0,-272.031524658,498.621276855,258.911010742,273.844116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,526.782104492,256.994506836,273.647064209,-281.583007812,439.038482666,258.975952148,273.493743896,229.381195068,502.515930176,256.160125732,274.085144043,431.650848389,732.630004883,251.298461914,274.030822754,-272.461303711,274.697631836,260.138671875,273.66229248,-272.031524658,490.733215332,259.062164307,273.794067383,-272.031524658,617.59375,259.110076904,273.757629395,9.4949836731
-121600.0,2067200.0,-342.116363525,526.782104492,256.994506836,273.647064209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,498.621276855,258.911010742,273.844116211,-706.408569336,194.622665405,256.00112915,273.380737305,229.381195068,502.515930176,256.160125732,274.085144043,431.650848389,732.630004883,251.298461914,274.030822754,475.415100098,427.583099365,252.178543091,274.53527832,-342.386169434,371.62713623,258.408477783,273.596130371,-342.116363525,584.504150391,257.195556641,273.651428223,-342.116363525,688.41607666,257.181518555,273.645874023,0.11310864985
0.0,2067200.0,-706.408569336,194.622665405,256.00112915,273.380737305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,526.782104492,256.994506836,273.647064209,-351.975463867,232.275695801,257.410614014,274.410980225,431.650848389,732.630004883,251.298461914,274.030822754,475.415100098,427.583099365,252.178543091,274.53527832,1870.8293457,237.099273682,245.886154175,274.778503418,-706.806945801,-108.541931152,257.503814697,273.379455566,-706.408569336,139.490692139,256.398864746,273.399719238,-706.408569336,215.722000122,256.330444336,273.377502441,1568.18566895
121600.0,2067200.0,-351.975463867,232.275695801,257.410614014,274.410980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706.408569336,194.622665405,256.00112915,273.380737305,0.0,0.0,0.0,0.0,475.415100098,427.583099365,252.178543091,274.53527832,1870.8293457,237.099273682,245.886154175,274.778503418,2463.53466797,331.273620605,244.060699463,274.926940918,-352.939605713,289.39630127,259.086425781,274.368804932,-351.975463867,319.85067749,257.953277588,274.418579102,-351.975463867,286.843994141,257.829864502,274.415405273,194.747161865
364800.0,2067200.0,189.279205322,313.267669678,257.197906494,275.429321289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,500.476196289,257.730895996,274.256652832,2463.53466797,331.273620605,244.060699463,274.926940918,1396.77966309,218.60144043,245.224945068,275.160339355,515.846557617,438.58605957,249.095275879,275.29397583,188.415267944,418.989379883,259.011627197,275.773254395,189.279205322,431.017883301,257.956878662,275.852142334,189.279205322,181.942749023,257.589019775,275.647888184,27.1277122498
486400.0,2067200.0,-641.497436523,500.476196289,257.730895996,274.256652832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.279205322,313.267669678,257.197906494,275.429321289,-297.077758789,548.31072998,257.829803467,274.408630371,1396.77966309,218.60144043,245.224945068,275.160339355,515.846557617,438.58605957,249.095275879,275.29397583,152.720962524,403.840759277,253.417175293,275.783630371,-642.225585938,540.445678711,259.438476562,274.270690918,-641.497436523,566.401000977,258.383453369,274.29095459,-641.497436523,257.340942383,258.001281738,274.274017334,29.8760814667
608000.0,2067200.0,-297.077758789,548.31072998,257.829803467,274.408630371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,500.476196289,257.730895996,274.256652832,0.0,0.0,0.0,0.0,515.846557617,438.58605957,249.095275879,275.29397583,152.720962524,403.840759277,253.417175293,275.783630371,-588.440063477,454.592468262,256.578125,274.973266602,-297.791503906,596.180908203,259.347595215,274.432159424,-297.077758789,608.179138184,258.422515869,274.449737549,-297.077758789,245.020217896,257.941497803,274.43347168,113.850265503
-364800.0,1945600.0,-281.583007812,439.038482666,258.975952148,273.493743896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,498.621276855,258.911010742,273.844116211,0.0,0.0,0.0,0.0,229.381195068,502.515930176,256.160125732,274.085144043,0.0,0.0,0.0,0.0,-737.13861084,657.522094727,257.204711914,273.733276367,1041.99023438,378.903625488,250.229995728,274.074584961,-282.197662354,114.023620605,259.716247559,273.432556152,-281.583007812,204.325119019,258.745605469,273.497344971,-281.583007812,361.535583496,259.250061035,273.516967773,299.520629883
-243200.0,1945600.0,229.381195068,502.515930176,256.160125732,274.085144043,0.0,0.0,0.0,0.0,-272.031524658,498.621276855,258.911010742,273.844116211,-342.116363525,526.782104492,256.994506836,273.647064209,-281.583007812,439.038482666,258.975952148,273.493743896,431.650848389,732.630004883,251.298461914,274.030822754,-737.13861084,657.522094727,257.204711914,273.733276367,1041.99023438,378.903625488,250.229995728,274.074584961,17.648683548,359.352996826,244.514389038,274.178100586,229.218994141,560.225585938,257.285827637,274.466766357,229.381195068,501.287200928,256.11630249,274.377410889,229.381195068,616.465942383,256.237121582,274.318969727,5.72919368744
-121600.0,1945600.0,431.650848389,732.630004883,251.298461914,274.030822754,-272.031524658,498.621276855,258.911010742,273.844116211,-342.116363525,526.782104492,256.994506836,273.647064209,-706.408569336,194.622665405,256.00112915,273.380737305,229.381195068,502.515930176,256.160125732,274.085144043,475.415100098,427.583099365,252.178543091,274.53527832,1041.99023438,378.903625488,250.229995728,274.074584961,17.648683548,359.352996826,244.514389038,274.178100586,251.882751465,276.298278809,242.439529419,274.680023193,431.601257324,1069.17529297,252.850814819,274.229309082,431.650848389,874.646911621,251.53112793,274.230072021,431.650848389,925.897827148,251.747528076,274.113494873,0.0824223831296
