x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2085,air_temperature_2085,ocean_temperature_2085,precipitation_2086,air_temperature_2086,ocean_temperature_2086,precipitation_2087,air_temperature_2087,ocean_temperature_2087,ice_thickness
-364800.0,2067200.0,557.055114746,263.454559326,272.433837891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.794799805,255.883468628,272.404968262,0.0,0.0,0.0,278.511291504,255.55796814,272.509002686,305.407989502,253.185119629,272.407196045,587.294067383,262.126556396,272.449249268,637.66607666,263.371459961,272.482757568,570.643798828,263.258392334,272.410308838,249.305358887
-243200.0,2067200.0,535.794799805,255.883468628,272.404968262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.055114746,263.454559326,272.433837891,643.349243164,254.670028687,272.65725708,278.511291504,255.55796814,272.509002686,305.407989502,253.185119629,272.407196045,557.028381348,248.494430542,272.581420898,551.362915039,254.880340576,272.818237305,605.747070312,255.848846436,272.821533203,543.748413086,255.708129883,272.723724365,760.270812988
-121600.0,2067200.0,643.349243164,254.670028687,272.65725708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.794799805,255.883468628,272.404968262,416.232391357,253.767242432,272.875732422,305.407989502,253.185119629,272.407196045,557.028381348,248.494430542,272.581420898,303.920776367,249.291275024,272.741760254,689.131103516,253.753097534,272.638031006,716.82232666,254.468017578,272.670440674,657.316040039,254.560623169,272.653442383,499.177032471
0.0,2067200.0,416.232391357,253.767242432,272.875732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.349243164,254.670028687,272.65725708,335.198974609,255.165008545,273.420654297,557.028381348,248.494430542,272.581420898,303.920776367,249.291275024,272.741760254,184.889022827,243.160720825,273.031402588,473.186767578,252.891220093,272.932495117,506.878509521,253.429718018,272.988891602,474.351196289,253.736068726,272.95501709,261.120788574
121600.0,2067200.0,335.198974609,255.165008545,273.420654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.232391357,253.767242432,272.875732422,0.0,0.0,0.0,303.920776367,249.291275024,272.741760254,184.889022827,243.160720825,273.031402588,273.770629883,241.393188477,273.26083374,282.577087402,254.348449707,273.400848389,339.217559814,254.723007202,273.433776855,320.48815918,255.109771729,273.417053223,395.881072998
364800.0,2067200.0,284.923461914,255.213256836,273.553833008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.790100098,256.22769165,273.602081299,273.770629883,241.393188477,273.26083374,139.34223938,242.896224976,273.402648926,335.600341797,246.740493774,273.49609375,333.590759277,254.594894409,273.568603516,323.34197998,254.396514893,273.594238281,270.741577148,254.929718018,273.583282471,596.295898438
486400.0,2067200.0,379.790100098,256.22769165,273.602081299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.923461914,255.213256836,273.553833008,394.924285889,256.243835449,273.745513916,139.34223938,242.896224976,273.402648926,335.600341797,246.740493774,273.49609375,253.393859863,251.317153931,273.7394104,434.194732666,255.704193115,273.698791504,382.825531006,255.270172119,273.662261963,336.972808838,255.746185303,273.630432129,941.777099609
608000.0,2067200.0,394.924285889,256.243835449,273.745513916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.790100098,256.22769165,273.602081299,0.0,0.0,0.0,335.600341797,246.740493774,273.49609375,253.393859863,251.317153931,273.7394104,393.409118652,254.727966309,274.384979248,449.720153809,255.678512573,273.841644287,363.026763916,255.217071533,273.805267334,314.328308105,255.457168579,273.773284912,394.013885498
-364800.0,1945600.0,278.511291504,255.55796814,272.509002686,0.0,0.0,0.0,557.055114746,263.454559326,272.433837891,535.794799805,255.883468628,272.404968262,0.0,0.0,0.0,305.407989502,253.185119629,272.407196045,446.795593262,255.013626099,272.764587402,263.761322021,254.01864624,272.784240723,156.240722656,247.237213135,272.454101562,349.34765625,254.670791626,272.683807373,380.900360107,255.539962769,272.79675293,405.028564453,255.452529907,272.701446533,500.614196777
-243200.0,1945600.0,305.407989502,253.185119629,272.407196045,557.055114746,263.454559326,272.433837891,535.794799805,255.883468628,272.404968262,643.349243164,254.670028687,272.65725708,278.511291504,255.55796814,272.509002686,557.028381348,248.494430542,272.581420898,263.761322021,254.01864624,272.784240723,156.240722656,247.237213135,272.454101562,239.528625488,241.608001709,272.563293457,344.602172852,252.344604492,272.497253418,371.440917969,253.095504761,272.553741455,406.969116211,253.214447021,272.465576172,796.438537598
