x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2059,air_temperature_2059,ocean_temperature_2059,precipitation_2060,air_temperature_2060,ocean_temperature_2060,precipitation_2061,air_temperature_2061,ocean_temperature_2061,ice_thickness
-364800.0,2067200.0,535.988525391,262.152557373,272.384674072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.289855957,255.010955811,272.459686279,0.0,0.0,0.0,291.182830811,254.639938354,272.35357666,307.465942383,252.524032593,272.454376221,555.401245117,260.808258057,272.344604492,487.170837402,260.637451172,272.370819092,695.357055664,261.19934082,272.371520996,223.898605347
-243200.0,2067200.0,527.289855957,255.010955811,272.459686279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.988525391,262.152557373,272.384674072,677.518615723,253.874893188,272.642822266,291.182830811,254.639938354,272.35357666,307.465942383,252.524032593,272.454376221,574.666381836,247.864486694,272.627838135,492.173828125,253.52746582,272.431915283,550.471618652,253.830886841,272.513763428,700.634155273,254.223800659,272.392425537,750.6015625
-121600.0,2067200.0,677.518615723,253.874893188,272.642822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.289855957,255.010955811,272.459686279,490.414306641,252.98600769,272.770690918,307.465942383,252.524032593,272.454376221,574.666381836,247.864486694,272.627838135,358.275634766,248.667358398,272.78338623,590.114746094,252.166168213,272.564300537,777.313720703,252.836914062,272.555084229,843.399902344,253.287979126,272.545349121,482.66607666
0.0,2067200.0,490.414306641,252.98600769,272.770690918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.518615723,253.874893188,272.642822266,421.170654297,254.399200439,273.404968262,574.666381836,247.864486694,272.627838135,358.275634766,248.667358398,272.78338623,247.429931641,242.643859863,273.067016602,418.921447754,251.227035522,272.623077393,606.307861328,252.004592896,272.638946533,625.920410156,252.420074463,272.656616211,345.692169189
121600.0,2067200.0,421.170654297,254.399200439,273.404968262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.414306641,252.98600769,272.770690918,0.0,0.0,0.0,358.275634766,248.667358398,272.78338623,247.429931641,242.643859863,273.067016602,334.26449585,241.026641846,273.294708252,342.898681641,252.587905884,273.326751709,488.078491211,253.439300537,273.31842041,499.413421631,253.744888306,273.307983398,606.770874023
364800.0,2067200.0,397.653137207,254.18182373,273.587463379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.046112061,255.144439697,273.540802002,334.26449585,241.026641846,273.294708252,212.522155762,242.290313721,273.419494629,412.374267578,246.001159668,273.513977051,257.622436523,252.421539307,273.570281982,316.848022461,253.258300781,273.604888916,394.125061035,253.817199707,273.556732178,605.57019043
486400.0,2067200.0,489.046112061,255.144439697,273.540802002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.653137207,254.18182373,273.587463379,505.133331299,254.978408813,273.682342529,212.522155762,242.290313721,273.419494629,412.374267578,246.001159668,273.513977051,339.741882324,250.376480103,273.757354736,313.971069336,253.357849121,273.575256348,373.020965576,254.14654541,273.568511963,446.553649902,254.773605347,273.554199219,987.229125977
608000.0,2067200.0,505.133331299,254.978408813,273.682342529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.046112061,255.144439697,273.540802002,0.0,0.0,0.0,412.374267578,246.001159668,273.513977051,339.741882324,250.376480103,273.757354736,419.500488281,253.54498291,274.323486328,280.428070068,253.100814819,273.718414307,363.273834229,253.977905273,273.711151123,464.11706543,254.607467651,273.698028564,388.74420166
-364800.0,1945600.0,291.182830811,254.639938354,272.35357666,0.0,0.0,0.0,535.988525391,262.152557373,272.384674072,527.289855957,255.010955811,272.459686279,0.0,0.0,0.0,307.465942383,252.524032593,272.454376221,442.904937744,253.572372437,272.609802246,306.112335205,253.236434937,272.629455566,171.117736816,246.48588562,272.494567871,345.722106934,253.534683228,272.456726074,270.642608643,253.605651855,272.511108398,484.4765625,253.947540283,272.293212891,472.810577393
-243200.0,1945600.0,307.465942383,252.524032593,272.454376221,535.988525391,262.152557373,272.384674072,527.289855957,255.010955811,272.459686279,677.518615723,253.874893188,272.642822266,291.182830811,254.639938354,272.35357666,574.666381836,247.864486694,272.627838135,306.112335205,253.236434937,272.629455566,171.117736816,246.48588562,272.494567871,238.312957764,240.96131897,272.609100342,308.363494873,251.309249878,272.486694336,369.399200439,251.811737061,272.477264404,502.47177124,251.83442688,272.408569336,788.650939941
-121600.0,1945600.0,574.666381836,247.864486694,272.627838135,527.289855957,255.010955811,272.459686279,677.518615723,253.874893188,272.642822266,490.414306641,252.98600769,272.770690918,307.465942383,252.524032593,272.454376221,358.275634766,248.667358398,272.78338623,171.117736816,246.48588562,272.494567871,238.312957764,240.96131897,272.609100342,208.289321899,238.912155151,272.732666016,515.443054199,246.173339844,272.589355469,705.95690918,247.096832275,272.624511719,749.516235352,247.329528809,272.571899414,865.14050293
0.0,1945600.0,358.275634766,248.667358398,272.78338623,677.518615723,253.874893188,272.642822266,490.414306641,252.98600769,272.770690918,421.170654297,254.399200439,273.404968262,574.666381836,247.864486694,272.627838135,247.429931641,242.643859863,273.067016602,238.312957764,240.96131897,272.609100342,208.289321899,238.912155151,272.732666016,120.66545105,236.044021606,272.935913086,313.203491211,246.897567749,272.765075684,481.632568359,247.976135254,272.804656982,483.981719971,248.229309082,272.750640869,781.327087402
121600.0,1945600.0,247.429931641,242.643859863,273.067016602,490.414306641,252.98600769,272.770690918,421.170654297,254.399200439,273.404968262,0.0,0.0,0.0,358.275634766,248.667358398,272.78338623,334.26449585,241.026641846,273.294708252,208.289321899,238.912155151,272.732666016,120.66545105,236.044021606,272.935913086,114.055236816,233.174163818,273.11239624,203.318588257,240.77192688,273.052459717,314.513671875,241.767333984,273.099090576,317.236755371,241.928619385,273.037811279,399.932891846
243200.0,1945600.0,334.26449585,241.026641846,273.294708252,421.170654297,254.399200439,273.404968262,0.0,0.0,0.0,397.653137207,254.18182373,273.587463379,247.429931641,242.643859863,273.067016602,212.522155762,242.290313721,273.419494629,120.66545105,236.044021606,272.935913086,114.055236816,233.174163818,273.11239624,119.018310547,234.52355957,273.263580322,277.397369385,238.924438477,273.284210205,358.170806885,239.911819458,273.334106445,373.701690674,240.273971558,273.270233154,218.70753479
364800.0,1945600.0,212.522155762,242.290313721,273.419494629,0.0,0.0,0.0,397.653137207,254.18182373,273.587463379,489.046112061,255.144439697,273.540802002,334.26449585,241.026641846,273.294708252,412.374267578,246.001159668,273.513977051,114.055236816,233.174163818,273.11239624,119.018310547,234.52355957,273.263580322,203.364929199,236.453125,273.40020752,139.396560669,240.270965576,273.414123535,168.773590088,241.116470337,273.446716309,210.923248291,241.700897217,273.405212402,711.44354248
486400.0,1945600.0,412.374267578,246.001159668,273.513977051,397.653137207,254.18182373,273.587463379,489.046112061,255.144439697,273.540802002,505.133331299,254.978408813,273.682342529,212.522155762,242.290313721,273.419494629,339.741882324,250.376480103,273.757354736,119.018310547,234.52355957,273.263580322,203.364929199,236.453125,273.40020752,263.106933594,241.388336182,273.570922852,296.966247559,244.222061157,273.511138916,324.51864624,244.805374146,273.542114258,370.819976807,245.350601196,273.49786377,1235.91430664
608000.0,1945600.0,339.741882324,250.376480103,273.757354736,489.046112061,255.144439697,273.540802002,505.133331299,254.978408813,273.682342529,0.0,0.0,0.0,412.374267578,246.001159668,273.513977051,419.500488281,253.54498291,274.323486328,203.364929199,236.453125,273.40020752,263.106933594,241.388336182,273.570922852,180.305984497,245.970474243,273.74810791,167.265518188,248.781387329,273.755706787,220.28692627,249.179428101,273.794952393,336.533782959,249.821151733,273.750640869,1231.41394043
729600.0,1945600.0,419.500488281,253.54498291,274.323486328,505.133331299,254.978408813,273.682342529,0.0,0.0,0.0,0.0,0.0,0.0,339.741882324,250.376480103,273.757354736,0.0,0.0,0.0,263.106933594,241.388336182,273.570922852,180.305984497,245.970474243,273.74810791,219.178741455,249.944671631,273.879089355,197.913131714,251.913833618,274.290008545,289.445922852,252.362548828,274.30267334,437.65814209,253.11567688,274.288909912,262.260925293
972800.0,1945600.0,382.641235352,255.863479614,273.957519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.173339844,258.431915283,272.779510498,219.178741455,249.944671631,273.879089355,305.472686768,253.59223938,274.021911621,264.673248291,252.496810913,273.191925049,206.267501831,254.313690186,273.906677246,231.542541504,255.178695679,273.929718018,393.61630249,255.583602905,273.912658691,251.130447388
1094400.0,1945600.0,405.173339844,258.431915283,272.779510498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.641235352,255.863479614,273.957519531,349.706054688,259.94140625,272.11416626,305.472686768,253.59223938,274.021911621,264.673248291,252.496810913,273.191925049,324.61706543,253.439788818,272.445037842,244.785964966,256.570220947,272.783172607,319.904571533,257.515136719,272.805511475,433.410552979,257.92288208,272.729370117,267.010650635
