x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2042,air_temperature_2042,ocean_temperature_2042,precipitation_2043,air_temperature_2043,ocean_temperature_2043,precipitation_2044,air_temperature_2044,ocean_temperature_2044,ice_thickness
-243200.0,2067200.0,412.486572266,253.692230225,272.51071167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.716491699,252.517776489,272.50189209,176.025863647,253.442871094,272.390441895,171.076934814,251.069580078,272.477111816,424.7684021,246.461669922,272.625640869,481.578674316,252.042175293,272.376495361,354.968261719,252.230987549,272.433929443,593.827026367,253.390106201,272.349060059,745.168640137
-121600.0,2067200.0,517.716491699,252.517776489,272.50189209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.486572266,253.692230225,272.51071167,337.408691406,252.026107788,272.510192871,171.076934814,251.069580078,272.477111816,424.7684021,246.461669922,272.625640869,230.991546631,247.442977905,272.815643311,619.585571289,251.077484131,272.432739258,471.488464355,250.964447021,272.508483887,731.796508789,251.763778687,272.523712158,476.640472412
0.0,2067200.0,337.408691406,252.026107788,272.510192871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.716491699,252.517776489,272.50189209,35.7405090332,253.492858887,273.265106201,424.7684021,246.461669922,272.625640869,230.991546631,247.442977905,272.815643311,34.961730957,241.29196167,273.113250732,413.446777344,250.654281616,272.585845947,321.060119629,250.110977173,272.622314453,493.734008789,250.8387146,272.68649292,362.082366943
121600.0,2067200.0,35.7405090332,253.492858887,273.265106201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.408691406,252.026107788,272.510192871,366.024688721,252.655502319,273.565551758,230.991546631,247.442977905,272.815643311,34.961730957,241.29196167,273.113250732,221.062286377,239.592041016,273.349731445,221.245193481,252.265289307,273.195526123,185.288284302,251.672393799,273.270446777,168.50944519,252.183898926,273.285949707,778.43560791
243200.0,2067200.0,366.024688721,252.655502319,273.565551758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7405090332,253.492858887,273.265106201,134.135559082,253.701660156,273.616241455,34.961730957,241.29196167,273.113250732,221.062286377,239.592041016,273.349731445,42.0981521606,241.026535034,273.452087402,410.303039551,251.447494507,273.496032715,351.380859375,250.526916504,273.607421875,443.556396484,251.165252686,273.624755859,254.543685913
364800.0,2067200.0,134.135559082,253.701660156,273.616241455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.024688721,252.655502319,273.565551758,241.175613403,254.872131348,273.464935303,221.062286377,239.592041016,273.349731445,42.0981521606,241.026535034,273.452087402,255.484802246,245.080062866,273.552154541,227.837371826,252.385864258,273.558898926,170.806243896,251.601776123,273.561553955,250.614196777,252.091186523,273.617614746,614.614135742
486400.0,2067200.0,241.175613403,254.872131348,273.464935303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.135559082,253.701660156,273.616241455,329.078918457,255.034606934,273.608825684,42.0981521606,241.026535034,273.452087402,255.484802246,245.080062866,273.552154541,232.282623291,249.909576416,273.819854736,307.6590271,253.342071533,273.340576172,246.619018555,252.817657471,273.383972168,323.737487793,253.126617432,273.439208984,1006.75537109
608000.0,2067200.0,329.078918457,255.034606934,273.608825684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.175613403,254.872131348,273.464935303,0.0,0.0,0.0,255.484802246,245.080062866,273.552154541,232.282623291,249.909576416,273.819854736,382.701965332,253.281311035,274.176330566,309.649414062,253.156707764,273.482696533,243.351623535,252.782119751,273.526519775,332.334106445,253.092849731,273.581176758,396.561126709
-364800.0,1945600.0,176.025863647,253.442871094,272.390441895,0.0,0.0,0.0,0.0,0.0,0.0,412.486572266,253.692230225,272.51071167,0.0,0.0,0.0,171.076934814,251.069580078,272.477111816,358.383911133,252.387954712,272.640777588,162.406158447,251.86706543,272.660430908,50.8442382812,245.15524292,272.511566162,242.82673645,251.990127563,272.345062256,160.808044434,252.017807007,272.339538574,277.874328613,253.24559021,272.385375977,455.908355713
-243200.0,1945600.0,171.076934814,251.069580078,272.477111816,0.0,0.0,0.0,412.486572266,253.692230225,272.51071167,517.716491699,252.517776489,272.50189209,176.025863647,253.442871094,272.390441895,424.7684021,246.461669922,272.625640869,162.406158447,251.86706543,272.660430908,50.8442382812,245.15524292,272.511566162,136.5340271,239.634811401,272.632965088,283.999053955,249.801422119,272.452941895,157.65512085,249.808013916,272.41998291,342.226928711,250.736175537,272.479400635,783.878112793
-121600.0,1945600.0,424.7684021,246.461669922,272.625640869,412.486572266,253.692230225,272.51071167,517.716491699,252.517776489,272.50189209,337.408691406,252.026107788,272.510192871,171.076934814,251.069580078,272.477111816,230.991546631,247.442977905,272.815643311,50.8442382812,245.15524292,272.511566162,136.5340271,239.634811401,272.632965088,130.01260376,237.487762451,272.805236816,532.067749023,245.177581787,272.566436768,384.829162598,244.947036743,272.578369141,590.916015625,245.789779663,272.637420654,854.277832031
0.0,1945600.0,230.991546631,247.442977905,272.815643311,517.716491699,252.517776489,272.50189209,337.408691406,252.026107788,272.510192871,35.7405090332,253.492858887,273.265106201,424.7684021,246.461669922,272.625640869,34.961730957,241.29196167,273.113250732,136.5340271,239.634811401,272.632965088,130.01260376,237.487762451,272.805236816,76.4168930054,234.387680054,272.988677979,289.451599121,246.554672241,272.762420654,210.493301392,245.869186401,272.764373779,334.26776123,246.652282715,272.815032959,775.008361816
121600.0,1945600.0,34.961730957,241.29196167,273.113250732,337.408691406,252.026107788,272.510192871,35.7405090332,253.492858887,273.265106201,366.024688721,252.655502319,273.565551758,230.991546631,247.442977905,272.815643311,221.062286377,239.592041016,273.349731445,130.01260376,237.487762451,272.805236816,76.4168930054,234.387680054,272.988677979,58.7649536133,231.37828064,273.159454346,126.944122314,240.454391479,273.060760498,103.545059204,239.624526978,273.043609619,109.699691772,240.337097168,273.109680176,396.680053711
243200.0,1945600.0,221.062286377,239.592041016,273.349731445,35.7405090332,253.492858887,273.265106201,366.024688721,252.655502319,273.565551758,134.135559082,253.701660156,273.616241455,34.961730957,241.29196167,273.113250732,42.0981521606,241.026535034,273.452087402,76.4168930054,234.387680054,272.988677979,58.7649536133,231.37828064,273.159454346,73.5779571533,232.824249268,273.307067871,241.259735107,238.73260498,273.294403076,203.126678467,237.74546814,273.267486572,246.357894897,238.501953125,273.33795166,213.70098877
364800.0,1945600.0,42.0981521606,241.026535034,273.452087402,366.024688721,252.655502319,273.565551758,134.135559082,253.701660156,273.616241455,241.175613403,254.872131348,273.464935303,221.062286377,239.592041016,273.349731445,255.484802246,245.080062866,273.552154541,58.7649536133,231.37828064,273.159454346,73.5779571533,232.824249268,273.307067871,156.843597412,235.119812012,273.44833374,104.306869507,240.075592041,273.400146484,63.1149368286,239.167633057,273.388427734,105.204841614,239.739303589,273.44519043,709.226745605
486400.0,1945600.0,255.484802246,245.080062866,273.552154541,134.135559082,253.701660156,273.616241455,241.175613403,254.872131348,273.464935303,329.078918457,255.034606934,273.608825684,42.0981521606,241.026535034,273.452087402,232.282623291,249.909576416,273.819854736,73.5779571533,232.824249268,273.307067871,156.843597412,235.119812012,273.44833374,231.833740234,240.55456543,273.631866455,279.537231445,244.028671265,273.488861084,236.453079224,243.19569397,273.483001709,281.057678223,243.57850647,273.541625977,1233.34753418
