x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2088,air_temperature_2088,ocean_temperature_2088,precipitation_2089,air_temperature_2089,ocean_temperature_2089,precipitation_2090,air_temperature_2090,ocean_temperature_2090,ice_thickness
-364800.0,2067200.0,633.027709961,262.29800415,272.421173096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.950927734,254.705490112,272.836791992,0.0,0.0,0.0,390.508331299,254.614974976,272.886322021,344.98059082,252.053421021,272.526916504,557.055114746,263.454559326,272.433837891,530.323608398,261.29977417,272.450714111,689.75970459,262.826202393,272.406066895,248.003845215
-243200.0,2067200.0,561.950927734,254.705490112,272.836791992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.027709961,262.29800415,272.421173096,606.547607422,253.478561401,272.640228271,390.508331299,254.614974976,272.886322021,344.98059082,252.053421021,272.526916504,519.203674316,247.337997437,272.616271973,535.794799805,255.883468628,272.404968262,445.512512207,253.95161438,272.553497314,712.487548828,255.364730835,272.786834717,761.116821289
-121600.0,2067200.0,606.547607422,253.478561401,272.640228271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.950927734,254.705490112,272.836791992,412.343688965,252.557312012,273.095275879,344.98059082,252.053421021,272.526916504,519.203674316,247.337997437,272.616271973,295.652526855,248.166290283,272.773040771,643.349243164,254.670028687,272.65725708,512.479309082,252.970031738,272.60144043,890.366088867,254.021392822,272.652954102,501.109008789
0.0,2067200.0,412.343688965,252.557312012,273.095275879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.547607422,253.478561401,272.640228271,144.596389771,253.872848511,273.403747559,519.203674316,247.337997437,272.616271973,295.652526855,248.166290283,272.773040771,103.499168396,241.945022583,273.060821533,416.232391357,253.767242432,272.875732422,320.297790527,252.25189209,272.920379639,681.71496582,253.429443359,273.012084961,251.993103027
121600.0,2067200.0,144.596389771,253.872848511,273.403747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.343688965,252.557312012,273.095275879,0.0,0.0,0.0,295.652526855,248.166290283,272.773040771,103.499168396,241.945022583,273.060821533,243.146011353,240.105895996,273.289825439,335.198974609,255.165008545,273.420654297,115.674362183,253.873291016,273.364379883,472.823974609,254.657241821,273.416534424,408.087310791
364800.0,2067200.0,227.973098755,253.911178589,273.586608887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.809234619,254.956954956,273.755493164,243.146011353,240.105895996,273.289825439,102.285171509,241.574783325,273.43258667,258.066375732,245.536224365,273.528320312,284.923461914,255.213256836,273.553833008,236.696304321,254.369064331,273.534515381,490.010437012,254.61958313,273.572692871,595.246520996
486400.0,2067200.0,297.809234619,254.956954956,273.755493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.973098755,253.911178589,273.586608887,276.351226807,254.742218018,273.898284912,102.285171509,241.574783325,273.43258667,258.066375732,245.536224365,273.528320312,142.443435669,250.139709473,273.752624512,379.790100098,256.22769165,273.602081299,348.342102051,255.390258789,273.597900391,574.985168457,255.550750732,273.734619141,936.909790039
608000.0,2067200.0,276.351226807,254.742218018,273.898284912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.809234619,254.956954956,273.755493164,0.0,0.0,0.0,258.066375732,245.536224365,273.528320312,142.443435669,250.139709473,273.752624512,368.893096924,253.422164917,274.49005127,394.924285889,256.243835449,273.745513916,350.827026367,255.613632202,273.740081787,570.270324707,255.629455566,273.877868652,392.684234619
-364800.0,1945600.0,390.508331299,254.614974976,272.886322021,0.0,0.0,0.0,633.027709961,262.29800415,272.421173096,561.950927734,254.705490112,272.836791992,0.0,0.0,0.0,344.98059082,252.053421021,272.526916504,559.18359375,253.630706787,273.142486572,403.330474854,252.943740845,273.162139893,206.153060913,246.046600342,272.586914062,278.511291504,255.55796814,272.509002686,281.578277588,253.553359985,272.707885742,429.020172119,255.115203857,272.82144165,503.77142334
-243200.0,1945600.0,344.98059082,252.053421021,272.526916504,633.027709961,262.29800415,272.421173096,561.950927734,254.705490112,272.836791992,606.547607422,253.478561401,272.640228271,390.508331299,254.614974976,272.886322021,519.203674316,247.337997437,272.616271973,403.330474854,252.943740845,273.162139893,206.153060913,246.046600342,272.586914062,211.908157349,240.378494263,272.65447998,305.407989502,253.185119629,272.407196045,241.253829956,251.39125061,272.445892334,461.892883301,252.776870728,272.464752197,797.139221191
