x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2077,air_temperature_2077,ocean_temperature_2077,precipitation_2078,air_temperature_2078,ocean_temperature_2078,precipitation_2079,air_temperature_2079,ocean_temperature_2079,ice_thickness
-364800.0,2067200.0,586.419555664,261.906951904,272.487213135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.556427002,254.115600586,272.635620117,0.0,0.0,0.0,337.675292969,254.073684692,272.637084961,307.144165039,251.48916626,272.45614624,488.282196045,261.336364746,272.361450195,658.804504395,262.683074951,272.348175049,474.399108887,260.937103271,272.436462402,258.948242188
-243200.0,2067200.0,495.556427002,254.115600586,272.635620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.419555664,261.906951904,272.487213135,567.572753906,252.801895142,272.607635498,337.675292969,254.073684692,272.637084961,307.144165039,251.48916626,272.45614624,480.712463379,246.699462891,272.610198975,483.901153564,254.072799683,272.534759521,645.40020752,255.172546387,272.653930664,448.131256104,253.673751831,272.629882812,756.993469238
-121600.0,2067200.0,567.572753906,252.801895142,272.607635498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.556427002,254.115600586,272.635620117,260.700134277,251.646194458,272.884277344,307.144165039,251.48916626,272.45614624,480.712463379,246.699462891,272.610198975,181.544387817,247.430847168,272.769195557,637.827209473,252.933837891,272.657440186,778.827514648,253.916381836,272.610321045,597.504089355,252.735397339,272.612182617,493.072692871
0.0,2067200.0,260.700134277,251.646194458,272.884277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.572753906,252.801895142,272.607635498,156.312561035,253.148925781,273.371276855,480.712463379,246.699462891,272.610198975,181.544387817,247.430847168,272.769195557,69.9164657593,241.244995117,273.055725098,425.735626221,252.379699707,272.851837158,551.910644531,253.364501953,272.829833984,412.442321777,252.253692627,272.864440918,302.33605957
121600.0,2067200.0,156.312561035,253.148925781,273.371276855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.700134277,251.646194458,272.884277344,0.0,0.0,0.0,181.544387817,247.430847168,272.769195557,69.9164657593,241.244995117,273.055725098,195.850570679,239.177322388,273.282104492,177.955352783,253.531539917,273.41986084,346.897033691,254.680953979,273.373291016,292.728912354,253.91053772,273.375549316,473.761291504
364800.0,2067200.0,184.283111572,252.954711914,273.57623291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.053527832,254.138793945,273.590454102,195.850570679,239.177322388,273.282104492,74.8256378174,240.548294067,273.414001465,269.177307129,244.506469727,273.517669678,330.745849609,253.626358032,273.531005859,338.54888916,254.738265991,273.529876709,298.309173584,253.84475708,273.551269531,598.855957031
486400.0,2067200.0,273.053527832,254.138793945,273.590454102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.283111572,252.954711914,273.57623291,298.876800537,254.077163696,273.734161377,74.8256378174,240.548294067,273.414001465,269.177307129,244.506469727,273.517669678,210.586105347,249.228347778,273.761260986,408.780334473,254.489349365,273.596496582,418.234191895,255.526153564,273.562133789,385.510742188,254.667312622,273.578674316,951.406066895
608000.0,2067200.0,298.876800537,254.077163696,273.734161377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.053527832,254.138793945,273.590454102,0.0,0.0,0.0,269.177307129,244.506469727,273.517669678,210.586105347,249.228347778,273.761260986,362.745147705,252.676834106,274.441680908,414.382385254,254.364974976,273.739196777,425.565887451,255.212753296,273.705413818,417.408355713,254.382781982,273.72164917,395.009338379
-364800.0,1945600.0,337.675292969,254.073684692,272.637084961,0.0,0.0,0.0,586.419555664,261.906951904,272.487213135,495.556427002,254.115600586,272.635620117,0.0,0.0,0.0,307.144165039,251.48916626,272.45614624,520.375488281,253.368545532,272.900909424,369.339202881,252.403366089,272.920562744,201.763671875,245.518661499,272.501586914,244.248535156,254.00038147,272.473632812,416.922180176,254.937072754,272.64276123,239.929244995,253.517959595,272.6668396,490.647338867
-243200.0,1945600.0,307.144165039,251.48916626,272.45614624,586.419555664,261.906951904,272.487213135,495.556427002,254.115600586,272.635620117,567.572753906,252.801895142,272.607635498,337.675292969,254.073684692,272.637084961,480.712463379,246.699462891,272.610198975,369.339202881,252.403366089,272.920562744,201.763671875,245.518661499,272.501586914,183.97203064,239.805465698,272.604278564,287.357177734,251.660995483,272.3984375,430.341796875,252.652359009,272.460266113,221.273040771,251.520431519,272.489746094,793.707824707
