x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2036,air_temperature_2036,ocean_temperature_2036,precipitation_2037,air_temperature_2037,ocean_temperature_2037,precipitation_2038,air_temperature_2038,ocean_temperature_2038,ice_velocity
-243200.0,2067200.0,359.203796387,253.556793213,272.481872559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.780395508,252.619888306,272.466522217,282.196563721,253.205368042,272.28704834,249.465652466,251.451446533,272.464172363,454.625640869,246.799713135,272.564819336,437.609924316,253.305541992,272.413726807,365.430419922,252.250350952,272.330230713,931.387451172,254.553741455,272.377349854,3.88160967827
-121600.0,2067200.0,463.780395508,252.619888306,272.466522217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.203796387,253.556793213,272.481872559,230.84677124,251.855300903,272.556488037,249.465652466,251.451446533,272.464172363,454.625640869,246.799713135,272.564819336,204.639480591,247.882659912,272.762695312,594.60559082,252.536575317,272.590179443,551.444335938,251.411514282,272.496704102,1003.86157227,253.143341064,272.471221924,0.0376716069877
0.0,2067200.0,230.84677124,251.855300903,272.556488037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.780395508,252.619888306,272.466522217,119.256011963,253.179641724,273.22946167,454.625640869,246.799713135,272.564819336,204.639480591,247.882659912,272.762695312,97.4435653687,241.668762207,273.062744141,421.9246521,252.048324585,272.574829102,337.00213623,250.81741333,272.570373535,699.809509277,252.200378418,272.544708252,254.77230835
121600.0,2067200.0,119.256011963,253.179641724,273.22946167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.84677124,251.855300903,272.556488037,417.303131104,252.114212036,273.515655518,204.639480591,247.882659912,272.762695312,97.4435653687,241.668762207,273.062744141,258.217071533,239.904571533,273.296875,371.576721191,253.629440308,273.351867676,344.441741943,252.386917114,273.259246826,547.424682617,253.454391479,273.234069824,45.2063217163
243200.0,2067200.0,417.303131104,252.114212036,273.515655518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.256011963,253.179641724,273.22946167,269.892608643,253.02684021,273.559997559,97.4435653687,241.668762207,273.062744141,258.217071533,239.904571533,273.296875,146.035980225,241.190338135,273.405731201,495.129455566,252.797134399,273.686798096,459.956573486,251.519393921,273.567657471,552.613098145,252.26461792,273.531097412,1079.17919922
364800.0,2067200.0,269.892608643,253.02684021,273.559997559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.303131104,252.114212036,273.515655518,381.350341797,253.970474243,273.391357422,258.217071533,239.904571533,273.296875,146.035980225,241.190338135,273.405731201,357.994140625,244.926483154,273.499328613,325.263427734,253.594604492,273.577423096,294.902679443,252.405792236,273.537994385,299.747283936,253.071746826,273.525726318,29.6062278748
486400.0,2067200.0,381.350341797,253.970474243,273.391357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.892608643,253.02684021,273.559997559,417.063446045,253.715713501,273.534210205,146.035980225,241.190338135,273.405731201,357.994140625,244.926483154,273.499328613,312.304534912,249.4271698,273.763122559,384.384063721,254.460723877,273.476074219,330.029296875,253.114273071,273.403381348,348.22543335,253.797195435,273.394012451,15.7552642822
608000.0,2067200.0,417.063446045,253.715713501,273.534210205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.350341797,253.970474243,273.391357422,0.0,0.0,0.0,357.994140625,244.926483154,273.499328613,312.304534912,249.4271698,273.763122559,429.41418457,252.622528076,274.071685791,351.267425537,254.241973877,273.618438721,371.786590576,252.619430542,273.546051025,332.253295898,253.2109375,273.536895752,1.57587134838
-364800.0,1945600.0,282.196563721,253.205368042,272.28704834,0.0,0.0,0.0,0.0,0.0,0.0,359.203796387,253.556793213,272.481872559,0.0,0.0,0.0,249.465652466,251.451446533,272.464172363,493.175537109,252.302581787,272.526397705,382.445617676,251.94241333,272.546051025,223.056915283,245.565887451,272.501586914,258.137786865,252.956802368,272.377990723,151.960128784,252.104003906,272.33605957,746.848144531,254.463973999,272.363983154,13.8470153809
-243200.0,1945600.0,249.465652466,251.451446533,272.464172363,0.0,0.0,0.0,359.203796387,253.556793213,272.481872559,463.780395508,252.619888306,272.466522217,282.196563721,253.205368042,272.28704834,454.625640869,246.799713135,272.564819336,382.445617676,251.94241333,272.546051025,223.056915283,245.565887451,272.501586914,216.45149231,240.000228882,272.593322754,291.919311523,251.131866455,272.447509766,171.49520874,250.294616699,272.38873291,742.364379883,252.135391235,272.419952393,5.41284275055
