x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2025,air_temperature_2025,ocean_temperature_2025,precipitation_2026,air_temperature_2026,ocean_temperature_2026,precipitation_2027,air_temperature_2027,ocean_temperature_2027,ice_velocity
-243200.0,2067200.0,492.805297852,252.919723511,272.361236572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.86315918,251.739151001,272.553619385,253.303405762,252.84677124,272.180206299,247.94380188,250.657363892,272.482330322,485.45401001,245.980285645,272.643127441,623.177612305,253.84727478,272.440551758,519.68762207,252.746063232,272.501678467,574.238037109,252.843109131,272.314239502,4.2464299202
-121600.0,2067200.0,608.86315918,251.739151001,272.553619385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.805297852,252.919723511,272.361236572,420.11831665,250.708175659,272.627105713,247.94380188,250.657363892,272.482330322,485.45401001,245.980285645,272.643127441,274.068206787,246.689834595,272.823547363,791.877319336,253.023849487,272.561004639,687.147277832,251.654281616,272.567321777,739.829467773,251.876083374,272.493499756,0.0259583219886
0.0,2067200.0,420.11831665,250.708175659,272.627105713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.86315918,251.739151001,272.553619385,328.674499512,252.273071289,273.316345215,485.45401001,245.980285645,272.643127441,274.068206787,246.689834595,272.823547363,158.342788696,240.478256226,273.117736816,559.568603516,252.445709229,272.543304443,489.631011963,251.001983643,272.644561768,553.15814209,251.424606323,272.629241943,197.57522583
121600.0,2067200.0,328.674499512,252.273071289,273.316345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.11831665,250.708175659,272.627105713,434.865783691,251.201705933,273.67868042,274.068206787,246.689834595,272.823547363,158.342788696,240.478256226,273.117736816,238.195449829,238.735855103,273.352722168,442.301727295,253.910140991,273.322631836,383.780822754,252.462036133,273.329040527,429.743652344,252.95753479,273.255584717,51.6389427185
243200.0,2067200.0,434.865783691,251.201705933,273.67868042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.674499512,252.273071289,273.316345215,262.961273193,252.342208862,273.622070312,158.342788696,240.478256226,273.117736816,238.195449829,238.735855103,273.352722168,99.5290908813,240.212402344,273.459533691,568.089660645,252.946609497,273.684112549,467.090454102,251.58895874,273.749359131,582.853820801,252.090545654,273.630218506,1689.86706543
364800.0,2067200.0,262.961273193,252.342208862,273.622070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.865783691,251.201705933,273.67868042,326.588165283,253.430709839,273.518157959,238.195449829,238.735855103,273.352722168,99.5290908813,240.212402344,273.459533691,287.367340088,244.105895996,273.554962158,388.299743652,253.97303772,273.558044434,249.437438965,252.671707153,273.568267822,413.807922363,253.053253174,273.525085449,30.809223175
486400.0,2067200.0,326.588165283,253.430709839,273.518157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.961273193,252.342208862,273.622070312,399.893615723,253.087890625,273.660430908,99.5290908813,240.212402344,273.459533691,287.367340088,244.105895996,273.554962158,235.793914795,248.56628418,273.812042236,467.140899658,254.901000977,273.432312012,296.176086426,253.660720825,273.539764404,483.691101074,254.099090576,273.397796631,14.1402778625
608000.0,2067200.0,399.893615723,253.087890625,273.660430908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.588165283,253.430709839,273.518157959,0.0,0.0,0.0,287.367340088,244.105895996,273.554962158,235.793914795,248.56628418,273.812042236,285.960510254,251.727172852,274.269012451,489.510925293,254.861984253,273.573760986,285.973083496,253.407165527,273.681945801,482.455627441,253.969299316,273.539825439,1.40365684032
-364800.0,1945600.0,253.303405762,252.84677124,272.180206299,0.0,0.0,0.0,0.0,0.0,0.0,492.805297852,252.919723511,272.361236572,0.0,0.0,0.0,247.94380188,250.657363892,272.482330322,411.466705322,252.229354858,272.436737061,248.54788208,251.259399414,272.456390381,110.98034668,244.731552124,272.510192871,353.275482178,253.287338257,272.262817383,285.533050537,252.68963623,272.275115967,397.582214355,252.430358887,272.166015625,13.5333328247
-243200.0,1945600.0,247.94380188,250.657363892,272.482330322,0.0,0.0,0.0,492.805297852,252.919723511,272.361236572,608.86315918,251.739151001,272.553619385,253.303405762,252.84677124,272.180206299,485.45401001,245.980285645,272.643127441,248.54788208,251.259399414,272.456390381,110.98034668,244.731552124,272.510192871,160.557418823,239.188201904,272.634246826,417.177459717,251.420516968,272.447631836,330.650482178,250.637680054,272.471984863,414.508483887,250.500854492,272.432647705,5.39362478256
