x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2075,precipitation_2075,air_temperature_2075,ocean_temperature_2075,bed_rock_elevation_2076,precipitation_2076,air_temperature_2076,ocean_temperature_2076,bed_rock_elevation_2077,precipitation_2077,air_temperature_2077,ocean_temperature_2077,ice_thickness
-364800.0,2067200.0,-351.935699463,490.743713379,267.065460205,273.041473389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.913635254,644.502685547,257.694946289,273.231628418,0.0,0.0,0.0,0.0,-282.735626221,427.969696045,257.581054688,273.02355957,229.06388855,548.541503906,254.999786377,273.355072021,-351.935699463,403.625671387,265.636901855,273.058441162,-351.935699463,337.283599854,265.526153564,272.881103516,-351.935699463,514.88861084,266.550598145,273.079376221,83.6736907959
-243200.0,2067200.0,-272.913635254,644.502685547,257.694946289,273.231628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-351.935699463,490.743713379,267.065460205,273.041473389,-342.720062256,708.198974609,256.077026367,273.259857178,-282.735626221,427.969696045,257.581054688,273.02355957,229.06388855,548.541503906,254.999786377,273.355072021,431.550537109,860.353393555,250.540084839,273.409545898,-272.913635254,460.712646484,256.833068848,273.224090576,-272.913635254,399.545928955,256.643737793,273.040649414,-272.913635254,600.247680664,258.094665527,273.252655029,756.003234863
-121600.0,2067200.0,-342.720062256,708.198974609,256.077026367,273.259857178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.913635254,644.502685547,257.694946289,273.231628418,-707.172607422,353.221801758,255.393463135,273.13168335,229.06388855,548.541503906,254.999786377,273.355072021,431.550537109,860.353393555,250.540084839,273.409545898,475.046630859,522.771972656,251.551361084,273.842590332,-342.720062256,594.263244629,255.234222412,273.191253662,-342.720062256,523.092224121,255.199401855,273.10635376,-342.720062256,684.524291992,256.453308105,273.25177002,453.110870361
0.0,2067200.0,-707.172607422,353.221801758,255.393463135,273.13168335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.720062256,708.198974609,256.077026367,273.259857178,-354.227752686,454.811584473,256.969421387,274.024871826,431.550537109,860.353393555,250.540084839,273.409545898,475.046630859,522.771972656,251.551361084,273.842590332,1869.91455078,350.856445312,245.505691528,274.123657227,-707.172607422,284.498474121,254.419387817,273.070343018,-707.172607422,306.804473877,254.529510498,273.048156738,-707.172607422,440.025787354,255.463882446,273.100738525,211.845840454
121600.0,2067200.0,-354.227752686,454.811584473,256.969421387,274.024871826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.172607422,353.221801758,255.393463135,273.13168335,0.0,0.0,0.0,0.0,475.046630859,522.771972656,251.551361084,273.842590332,1869.91455078,350.856445312,245.505691528,274.123657227,2462.41137695,433.380187988,243.777877808,274.282531738,-354.227752686,287.144378662,255.817901611,273.925140381,-354.227752686,266.562164307,255.948730469,273.905670166,-354.227752686,380.930267334,256.712738037,274.014343262,427.693206787
364800.0,2067200.0,187.559173584,454.269378662,256.819915771,274.825775146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.885681152,532.889221191,257.512298584,273.975799561,2462.41137695,433.380187988,243.777877808,274.282531738,1395.92504883,281.663879395,244.93157959,274.572174072,515.05645752,464.034423828,248.759521484,274.701812744,187.559173584,402.581939697,255.770874023,274.569915771,187.559173584,229.277145386,255.878631592,274.484954834,187.559173584,365.539276123,256.609802246,274.63571167,602.590209961
486400.0,2067200.0,-642.885681152,532.889221191,257.512298584,273.975799561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.559173584,454.269378662,256.819915771,274.825775146,-298.494995117,496.263275146,257.500793457,274.128326416,1395.92504883,281.663879395,244.93157959,274.572174072,515.05645752,464.034423828,248.759521484,274.701812744,151.511062622,382.672241211,253.101348877,275.135498047,-642.885681152,556.700134277,256.574645996,273.888793945,-642.885681152,293.009063721,256.571838379,273.897979736,-642.885681152,463.105895996,257.426086426,273.940460205,961.012695312
608000.0,2067200.0,-298.494995117,496.263275146,257.500793457,274.128326416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.885681152,532.889221191,257.512298584,273.975799561,0.0,0.0,0.0,0.0,515.05645752,464.034423828,248.759521484,274.701812744,151.511062622,382.672241211,253.101348877,275.135498047,-589.913757324,407.722503662,256.299255371,274.694732666,-298.494995117,632.455078125,256.627929688,274.035400391,-298.494995117,315.314575195,256.530303955,274.050964355,-298.494995117,521.175048828,257.500183105,274.08996582,394.02645874
-364800.0,1945600.0,-282.735626221,427.969696045,257.581054688,273.02355957,0.0,0.0,0.0,0.0,-351.935699463,490.743713379,267.065460205,273.041473389,-272.913635254,644.502685547,257.694946289,273.231628418,0.0,0.0,0.0,0.0,229.06388855,548.541503906,254.999786377,273.355072021,0.0,0.0,0.0,0.0,-738.189025879,507.5965271,255.900894165,273.269470215,1041.60375977,342.265380859,249.193862915,273.285491943,-282.735626221,261.805541992,256.611328125,273.03024292,-282.735626221,174.615783691,256.565887451,272.897949219,-282.735626221,393.242156982,257.917114258,273.039306641,444.848449707
-243200.0,1945600.0,229.06388855,548.541503906,254.999786377,273.355072021,-351.935699463,490.743713379,267.065460205,273.041473389,-272.913635254,644.502685547,257.694946289,273.231628418,-342.720062256,708.198974609,256.077026367,273.259857178,-282.735626221,427.969696045,257.581054688,273.02355957,431.550537109,860.353393555,250.540084839,273.409545898,-738.189025879,507.5965271,255.900894165,273.269470215,1041.60375977,342.265380859,249.193862915,273.285491943,17.3610038757,426.702026367,243.775772095,273.466430664,229.06388855,394.645019531,254.237503052,273.385406494,229.06388855,262.480743408,253.911499023,273.100585938,229.06388855,370.190856934,255.221618652,273.065002441,794.873474121
