x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2095,precipitation_2095,air_temperature_2095,ocean_temperature_2095,bed_rock_elevation_2096,precipitation_2096,air_temperature_2096,ocean_temperature_2096,bed_rock_elevation_2097,precipitation_2097,air_temperature_2097,ocean_temperature_2097,ice_thickness
-243200.0,2067200.0,-272.031524658,447.625549316,260.545166016,273.76776123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,555.017578125,258.6668396,273.61050415,-281.583007812,229.236419678,260.22644043,273.46005249,229.381195068,560.214233398,257.488037109,274.31463623,431.650848389,935.413208008,252.954360962,274.164398193,-272.031524658,617.59375,259.110076904,273.757629395,-272.031524658,498.621276855,258.911010742,273.844116211,-272.031524658,362.465881348,259.393310547,273.894439697,739.776672363
-121600.0,2067200.0,-342.116363525,555.017578125,258.6668396,273.61050415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,447.625549316,260.545166016,273.76776123,-706.408569336,0.782165527344,257.758544922,273.398040771,229.381195068,560.214233398,257.488037109,274.31463623,431.650848389,935.413208008,252.954360962,274.164398193,475.415100098,457.708435059,253.869262695,274.799255371,-342.116363525,688.41607666,257.181518555,273.645874023,-342.116363525,526.782104492,256.994506836,273.647064209,-342.116363525,537.504516602,257.624633789,273.644927979,463.823577881
0.0,2067200.0,-706.408569336,0.782165527344,257.758544922,273.398040771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.116363525,555.017578125,258.6668396,273.61050415,-351.975463867,200.16015625,259.157287598,274.368560791,431.650848389,935.413208008,252.954360962,274.164398193,475.415100098,457.708435059,253.869262695,274.799255371,1870.8293457,350.820800781,247.68145752,275.06628418,-706.408569336,215.722000122,256.330444336,273.377502441,-706.408569336,194.622665405,256.00112915,273.380737305,-706.408569336,221.005599976,256.80090332,273.37399292,131.064086914
121600.0,2067200.0,-351.975463867,200.16015625,259.157287598,274.368560791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706.408569336,0.782165527344,257.758544922,273.398040771,0.0,0.0,0.0,0.0,475.415100098,457.708435059,253.869262695,274.799255371,1870.8293457,350.820800781,247.68145752,275.06628418,2463.53466797,492.321166992,245.958023071,275.231140137,-351.975463867,286.843994141,257.829864502,274.415405273,-351.975463867,232.275695801,257.410614014,274.410980225,-351.975463867,425.855834961,258.495574951,274.395202637,439.773223877
364800.0,2067200.0,189.279205322,343.344177246,258.999511719,275.760009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,493.479522705,259.514678955,274.277648926,2463.53466797,492.321166992,245.958023071,275.231140137,1396.77966309,423.670410156,247.171279907,275.511932373,515.846557617,725.09777832,251.117324829,275.605957031,189.279205322,181.942749023,257.589019775,275.647888184,189.279205322,313.267669678,257.197906494,275.429321289,189.279205322,504.137756348,258.349121094,275.549713135,597.144714355
486400.0,2067200.0,-641.497436523,493.479522705,259.514678955,274.277648926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.279205322,343.344177246,258.999511719,275.760009766,-297.077758789,555.182922363,259.609130859,274.434661865,1396.77966309,423.670410156,247.171279907,275.511932373,515.846557617,725.09777832,251.117324829,275.605957031,152.720962524,807.98614502,255.275558472,276.171936035,-641.497436523,257.340942383,258.001281738,274.274017334,-641.497436523,500.476196289,257.730895996,274.256652832,-641.497436523,599.227783203,258.867340088,274.256774902,936.99029541
608000.0,2067200.0,-297.077758789,555.182922363,259.609130859,274.434661865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-641.497436523,493.479522705,259.514678955,274.277648926,0.0,0.0,0.0,0.0,515.846557617,725.09777832,251.117324829,275.605957031,152.720962524,807.98614502,255.275558472,276.171936035,-588.440063477,564.354858398,258.350006104,275.002563477,-297.077758789,245.020217896,257.941497803,274.43347168,-297.077758789,548.31072998,257.829803467,274.408630371,-297.077758789,545.825683594,258.784942627,274.410705566,386.028381348
-364800.0,1945600.0,-281.583007812,229.236419678,260.22644043,273.46005249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.031524658,447.625549316,260.545166016,273.76776123,0.0,0.0,0.0,0.0,229.381195068,560.214233398,257.488037109,274.31463623,0.0,0.0,0.0,0.0,-737.13861084,427.2003479,258.335662842,273.698028564,1041.99023438,344.925720215,251.467819214,274.2109375,-281.583007812,361.535583496,259.250061035,273.516967773,-281.583007812,439.038482666,258.975952148,273.493743896,-281.583007812,183.140792847,259.155792236,273.488861084,382.138519287
-243200.0,1945600.0,229.381195068,560.214233398,257.488037109,274.31463623,0.0,0.0,0.0,0.0,-272.031524658,447.625549316,260.545166016,273.76776123,-342.116363525,555.017578125,258.6668396,273.61050415,-281.583007812,229.236419678,260.22644043,273.46005249,431.650848389,935.413208008,252.954360962,274.164398193,-737.13861084,427.2003479,258.335662842,273.698028564,1041.99023438,344.925720215,251.467819214,274.2109375,17.648683548,437.259887695,246.035873413,274.293548584,229.381195068,616.465942383,256.237121582,274.318969727,229.381195068,502.515930176,256.160125732,274.085144043,229.381195068,485.936157227,256.701934814,273.988372803,803.042358398
-121600.0,1945600.0,431.650848389,935.413208008,252.954360962,274.164398193,-272.031524658,447.625549316,260.545166016,273.76776123,-342.116363525,555.017578125,258.6668396,273.61050415,-706.408569336,0.782165527344,257.758544922,273.398040771,229.381195068,560.214233398,257.488037109,274.31463623,475.415100098,457.708435059,253.869262695,274.799255371,1041.99023438,344.925720215,251.467819214,274.2109375,17.648683548,437.259887695,246.035873413,274.293548584,251.882751465,297.332122803,244.101211548,275.09979248,431.650848389,925.897827148,251.747528076,274.113494873,431.650848389,732.630004883,251.298461914,274.030822754,431.650848389,961.11138916,252.103759766,273.996185303,897.485961914
