x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2060,precipitation_2060,air_temperature_2060,ocean_temperature_2060,bed_rock_elevation_2061,precipitation_2061,air_temperature_2061,ocean_temperature_2061,bed_rock_elevation_2062,precipitation_2062,air_temperature_2062,ocean_temperature_2062,ice_thickness
-364800.0,2067200.0,-352.279754639,644.742004395,264.823242188,272.807342529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.185760498,552.482055664,256.901000977,272.987823486,0.0,0.0,0.0,0.0,-283.138397217,343.403503418,256.730041504,272.82043457,229.101867676,312.286132812,254.051895142,272.910949707,-352.279754639,460.803833008,263.360168457,272.783172607,-352.279754639,479.660522461,263.704284668,272.868347168,-352.279754639,620.849853516,264.586334229,272.837127686,176.384628296
-243200.0,2067200.0,-273.185760498,552.482055664,256.901000977,272.987823486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.279754639,644.742004395,264.823242188,272.807342529,-342.939575195,679.30279541,255.467681885,273.009155273,-283.138397217,343.403503418,256.730041504,272.82043457,229.101867676,312.286132812,254.051895142,272.910949707,431.719024658,601.440551758,249.288314819,273.015380859,-273.185760498,381.477722168,254.863006592,272.900848389,-273.185760498,403.460388184,255.435134888,273.074676514,-273.185760498,666.595581055,256.679626465,273.038085938,752.782104492
-121600.0,2067200.0,-342.939575195,679.30279541,255.467681885,273.009155273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.185760498,552.482055664,256.901000977,272.987823486,-707.554443359,421.506866455,254.533370972,272.983398438,229.101867676,312.286132812,254.051895142,272.910949707,431.719024658,601.440551758,249.288314819,273.015380859,474.931243896,345.686523438,250.223342896,273.30682373,-342.939575195,516.775756836,253.796066284,272.984161377,-342.939575195,488.956054688,254.390731812,273.079650879,-342.939575195,827.424438477,255.166549683,273.078552246,457.192016602
0.0,2067200.0,-707.554443359,421.506866455,254.533370972,272.983398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.939575195,679.30279541,255.467681885,273.009155273,-356.683135986,333.275054932,255.687316895,273.777557373,431.719024658,601.440551758,249.288314819,273.015380859,474.931243896,345.686523438,250.223342896,273.30682373,1869.20385742,192.576263428,243.97984314,273.537353516,-707.554443359,298.450897217,253.29486084,272.949829102,-707.554443359,313.749511719,253.923171997,272.996459961,-707.554443359,534.386047363,254.260040283,273.023223877,243.290710449
121600.0,2067200.0,-356.683135986,333.275054932,255.687316895,273.777557373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.554443359,421.506866455,254.533370972,272.983398438,0.0,0.0,0.0,0.0,474.931243896,345.686523438,250.223342896,273.30682373,1869.20385742,192.576263428,243.97984314,273.537353516,2461.46948242,294.959838867,242.054855347,273.699890137,-356.683135986,190.454193115,254.919754028,273.752868652,-356.683135986,199.764526367,255.507354736,273.846160889,-356.683135986,373.28817749,255.54234314,273.862182617,584.082458496
364800.0,2067200.0,186.058410645,315.965606689,255.227005005,274.208618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-644.058837891,398.255126953,256.010650635,273.814117432,2461.46948242,294.959838867,242.054855347,273.699890137,1395.2364502,161.476226807,243.147781372,273.936737061,514.409973145,361.567321777,246.919677734,274.105895996,186.058410645,267.790344238,254.965911865,274.225769043,186.058410645,291.871063232,255.665435791,274.379669189,186.058410645,326.616149902,255.278335571,274.51574707,607.646362305
486400.0,2067200.0,-644.058837891,398.255126953,256.010650635,273.814117432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.058410645,315.965606689,255.227005005,274.208618164,-299.899719238,478.272216797,255.982177734,273.963928223,1395.2364502,161.476226807,243.147781372,273.936737061,514.409973145,361.567321777,246.919677734,274.105895996,150.4427948,290.224609375,251.259719849,274.429656982,-644.058837891,380.214569092,255.848129272,273.778564453,-644.058837891,370.120178223,256.626159668,273.834136963,-644.058837891,426.690582275,256.070281982,273.865875244,974.750183105
608000.0,2067200.0,-299.899719238,478.272216797,255.982177734,273.963928223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-644.058837891,398.255126953,256.010650635,273.814117432,0.0,0.0,0.0,0.0,514.409973145,361.567321777,246.919677734,274.105895996,150.4427948,290.224609375,251.259719849,274.429656982,-591.187133789,391.921508789,254.432510376,274.529083252,-299.899719238,498.489929199,255.96572876,273.928375244,-299.899719238,440.19543457,256.838378906,273.982910156,-299.899719238,511.395507812,256.223327637,274.017608643,389.198272705
-364800.0,1945600.0,-283.138397217,343.403503418,256.730041504,272.82043457,0.0,0.0,0.0,0.0,-352.279754639,644.742004395,264.823242188,272.807342529,-273.185760498,552.482055664,256.901000977,272.987823486,0.0,0.0,0.0,0.0,229.101867676,312.286132812,254.051895142,272.910949707,-383.368621826,555.366882324,256.467529297,273.065185547,-738.620666504,351.274688721,255.064483643,273.084716797,1041.51989746,167.669815063,248.075592041,272.965606689,-283.138397217,224.758575439,254.524017334,272.800201416,-283.138397217,261.34197998,255.151306152,272.82711792,-283.138397217,440.284515381,256.327453613,272.829284668,473.869934082
-243200.0,1945600.0,229.101867676,312.286132812,254.051895142,272.910949707,-352.279754639,644.742004395,264.823242188,272.807342529,-273.185760498,552.482055664,256.901000977,272.987823486,-342.939575195,679.30279541,255.467681885,273.009155273,-283.138397217,343.403503418,256.730041504,272.82043457,431.719024658,601.440551758,249.288314819,273.015380859,-738.620666504,351.274688721,255.064483643,273.084716797,1041.51989746,167.669815063,248.075592041,272.965606689,17.3202571869,256.130432129,242.531951904,273.080627441,229.101867676,234.215927124,252.48248291,272.855072021,229.101867676,214.519577026,253.125457764,272.891082764,229.101867676,467.262420654,253.807098389,273.097961426,789.703186035
