x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2085,precipitation_2085,air_temperature_2085,ocean_temperature_2085,bed_rock_elevation_2086,precipitation_2086,air_temperature_2086,ocean_temperature_2086,bed_rock_elevation_2087,precipitation_2087,air_temperature_2087,ocean_temperature_2087,ice_thickness
-243200.0,2067200.0,-272.461303711,392.145782471,259.17175293,273.56463623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.386169434,518.855102539,257.314300537,273.483795166,-282.197662354,179.54776001,259.147583008,273.287902832,229.218994141,469.87097168,256.287597656,273.819732666,431.601257324,873.870117188,251.572753906,273.773620605,-272.461303711,565.932128906,259.184539795,273.773498535,-272.461303711,460.713684082,258.761474609,273.761566162,-272.461303711,328.736816406,258.33303833,273.611053467,752.368347168
-121600.0,2067200.0,-342.386169434,518.855102539,257.314300537,273.483795166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.461303711,392.145782471,259.17175293,273.56463623,-706.806945801,88.7384338379,256.404571533,273.279541016,229.218994141,469.87097168,256.287597656,273.819732666,431.601257324,873.870117188,251.572753906,273.773620605,475.230163574,497.438232422,252.643951416,274.210571289,-342.386169434,778.080505371,257.568237305,273.525756836,-342.386169434,614.686584473,257.018310547,273.551055908,-342.386169434,493.200256348,256.565307617,273.501647949,455.970245361
0.0,2067200.0,-706.806945801,88.7384338379,256.404571533,273.279541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.386169434,518.855102539,257.314300537,273.483795166,-352.939605713,311.124084473,257.941772461,274.284088135,431.601257324,873.870117188,251.572753906,273.773620605,475.230163574,497.438232422,252.643951416,274.210571289,1870.38134766,337.115661621,246.501220703,274.474456787,-706.806945801,533.255493164,256.6690979,273.285491943,-706.806945801,291.015441895,256.006469727,273.277069092,-706.806945801,187.152145386,255.719070435,273.274780273,190.61567688
121600.0,2067200.0,-352.939605713,311.124084473,257.941772461,274.284088135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706.806945801,88.7384338379,256.404571533,273.279541016,0.0,0.0,0.0,0.0,475.230163574,497.438232422,252.643951416,274.210571289,1870.38134766,337.115661621,246.501220703,274.474456787,2462.97753906,472.197021484,244.690414429,274.629547119,-352.939605713,550.43548584,257.881256104,274.294158936,-352.939605713,423.785827637,257.310699463,274.305328369,-352.939605713,404.294616699,257.153808594,274.268585205,407.931976318
364800.0,2067200.0,188.415267944,418.194152832,257.742584229,275.172637939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.225585938,553.022277832,258.175933838,274.160766602,2462.97753906,472.197021484,244.690414429,274.629547119,1396.35595703,373.848999023,245.777755737,274.879425049,515.460083008,599.771850586,249.503616333,275.032104492,188.415267944,553.127197266,257.539642334,275.435424805,188.415267944,402.199249268,257.045928955,275.392578125,188.415267944,450.531188965,256.934631348,275.200012207,600.032287598
486400.0,2067200.0,-642.225585938,553.022277832,258.175933838,274.160766602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.415267944,418.194152832,257.742584229,275.172637939,-297.791503906,571.898193359,258.093505859,274.317687988,1396.35595703,373.848999023,245.777755737,274.879425049,515.460083008,599.771850586,249.503616333,275.032104492,152.128967285,533.310852051,253.608520508,275.492248535,-642.225585938,712.657958984,258.018493652,274.138641357,-642.225585938,476.157623291,257.79788208,274.126342773,-642.225585938,585.84173584,257.426757812,274.145782471,953.56237793
608000.0,2067200.0,-297.791503906,571.898193359,258.093505859,274.317687988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.225585938,553.022277832,258.175933838,274.160766602,0.0,0.0,0.0,0.0,515.460083008,599.771850586,249.503616333,275.032104492,152.128967285,533.310852051,253.608520508,275.492248535,-589.139404297,472.814453125,256.651184082,274.888061523,-297.791503906,755.098937988,258.001556396,274.291717529,-297.791503906,447.712219238,257.970825195,274.280181885,-297.791503906,561.068115234,257.458343506,274.302856445,392.438476562
-364800.0,1945600.0,-282.197662354,179.54776001,259.147583008,273.287902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.461303711,392.145782471,259.17175293,273.56463623,0.0,0.0,0.0,0.0,229.218994141,469.87097168,256.287597656,273.819732666,0.0,0.0,0.0,0.0,-737.734619141,415.073486328,257.195129395,273.527954102,1041.79772949,284.870910645,250.39906311,273.767028809,-282.197662354,311.949279785,259.072998047,273.345611572,-282.197662354,305.358062744,258.395294189,273.393859863,-282.197662354,156.408477783,257.970214844,273.332580566,412.070587158
-243200.0,1945600.0,229.218994141,469.87097168,256.287597656,273.819732666,0.0,0.0,0.0,0.0,-272.461303711,392.145782471,259.17175293,273.56463623,-342.386169434,518.855102539,257.314300537,273.483795166,-282.197662354,179.54776001,259.147583008,273.287902832,431.601257324,873.870117188,251.572753906,273.773620605,-737.734619141,415.073486328,257.195129395,273.527954102,1041.79772949,284.870910645,250.39906311,273.767028809,17.5119171143,412.50491333,244.835159302,273.865570068,229.218994141,599.929931641,256.275970459,273.926086426,229.218994141,504.757751465,255.655532837,273.860565186,229.218994141,417.224975586,255.41569519,273.89276123,798.763977051
-121600.0,1945600.0,431.601257324,873.870117188,251.572753906,273.773620605,-272.461303711,392.145782471,259.17175293,273.56463623,-342.386169434,518.855102539,257.314300537,273.483795166,-706.806945801,88.7384338379,256.404571533,273.279541016,229.218994141,469.87097168,256.287597656,273.819732666,475.230163574,497.438232422,252.643951416,274.210571289,1041.79772949,284.870910645,250.39906311,273.767028809,17.5119171143,412.50491333,244.835159302,273.865570068,251.620529175,301.25982666,242.964263916,274.443756104,431.601257324,1014.82446289,251.709838867,273.953063965,431.601257324,863.007324219,251.044647217,273.862518311,431.601257324,831.086669922,250.842224121,273.817596436,887.63079834
0.0,1945600.0,475.230163574,497.438232422,252.643951416,274.210571289,-342.386169434,518.855102539,257.314300537,273.483795166,-706.806945801,88.7384338379,256.404571533,273.279541016,-352.939605713,311.124084473,257.941772461,274.284088135,431.601257324,873.870117188,251.572753906,273.773620605,1870.38134766,337.115661621,246.501220703,274.474456787,17.5119171143,412.50491333,244.835159302,273.865570068,251.620529175,301.25982666,242.964263916,274.443756104,1087.98583984,173.129150391,240.044052124,274.346374512,475.230163574,637.212768555,252.66619873,274.463287354,475.230163574,533.866821289,251.94317627,274.385070801,475.230163574,520.419006348,251.782531738,274.253051758,794.725158691
121600.0,1945600.0,1870.38134766,337.115661621,246.501220703,274.474456787,-706.806945801,88.7384338379,256.404571533,273.279541016,-352.939605713,311.124084473,257.941772461,274.284088135,0.0,0.0,0.0,0.0,475.230163574,497.438232422,252.643951416,274.210571289,2462.97753906,472.197021484,244.690414429,274.629547119,251.620529175,301.25982666,242.964263916,274.443756104,1087.98583984,173.129150391,240.044052124,274.346374512,619.555725098,200.548919678,237.027313232,274.435241699,1870.38134766,445.199951172,246.449249268,274.714233398,1870.38134766,374.817321777,245.750793457,274.628509521,1870.38134766,352.328948975,245.520355225,274.546356201,409.410614014
