x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2028,precipitation_2028,air_temperature_2028,ocean_temperature_2028,bed_rock_elevation_2029,precipitation_2029,air_temperature_2029,ocean_temperature_2029,bed_rock_elevation_2030,precipitation_2030,air_temperature_2030,ocean_temperature_2030,ice_thickness
-243200.0,2067200.0,-273.062652588,477.342010498,251.772140503,272.623657227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.84765625,595.044677734,250.709625244,272.685424805,-282.81842041,272.090698242,251.84274292,272.504516602,229.680038452,265.026428223,249.6459198,272.580932617,432.447662354,502.896789551,244.961532593,272.680297852,-273.062652588,642.378540039,254.150115967,272.079437256,-273.062652588,414.944854736,252.226043701,272.410675049,-273.062652588,613.076843262,253.947402954,272.302947998,742.235656738
-121600.0,2067200.0,-342.84765625,595.044677734,250.709625244,272.685424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.062652588,477.342010498,251.772140503,272.623657227,-707.792785645,369.402923584,250.131500244,272.793701172,229.680038452,265.026428223,249.6459198,272.580932617,432.447662354,502.896789551,244.961532593,272.680297852,475.287567139,268.836425781,246.160369873,272.82208252,-342.84765625,765.739135742,252.875213623,272.4503479,-342.84765625,468.112060547,251.205841064,272.607177734,-342.84765625,649.380737305,252.694152832,272.54598999,468.41998291
0.0,2067200.0,-707.792785645,369.402923584,250.131500244,272.793701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.84765625,595.044677734,250.709625244,272.685424805,-359.029693604,268.798461914,251.892974854,273.384613037,432.447662354,502.896789551,244.961532593,272.680297852,475.287567139,268.836425781,246.160369873,272.82208252,1868.54907227,132.595214844,240.18157959,273.09765625,-707.792785645,507.682250977,251.94909668,272.722564697,-707.792785645,239.229278564,250.584274292,272.763977051,-707.792785645,400.086517334,251.956726074,272.757171631,334.710540771
121600.0,2067200.0,-359.029693604,268.798461914,251.892974854,273.384613037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.792785645,369.402923584,250.131500244,272.793701172,-435.70526123,404.756835938,251.004699707,273.716522217,475.287567139,268.836425781,246.160369873,272.82208252,1868.54907227,132.595214844,240.18157959,273.09765625,2460.37548828,238.737319946,238.554824829,273.31451416,-359.029693604,362.329162598,253.236587524,273.221069336,-359.029693604,121.280441284,252.202896118,273.355499268,-359.029693604,292.415039062,253.41444397,273.275695801,795.430969238
243200.0,2067200.0,-435.70526123,404.756835938,251.004699707,273.716522217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-359.029693604,268.798461914,251.892974854,273.384613037,184.139923096,228.207061768,251.990631104,273.573425293,1868.54907227,132.595214844,240.18157959,273.09765625,2460.37548828,238.737319946,238.554824829,273.31451416,1394.47460938,108.583778381,239.90927124,273.430725098,-435.70526123,461.568389893,252.018005371,273.620056152,-435.70526123,242.315536499,251.195098877,273.712768555,-435.70526123,420.475769043,252.375152588,273.652557373,323.810821533
364800.0,2067200.0,184.139923096,228.207061768,251.990631104,273.573425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-435.70526123,404.756835938,251.004699707,273.716522217,-645.57611084,248.498855591,252.859161377,273.492431641,2460.37548828,238.737319946,238.554824829,273.31451416,1394.47460938,108.583778381,239.90927124,273.430725098,513.680236816,278.768310547,243.842926025,273.503875732,184.139923096,280.045166016,252.787490845,273.611297607,184.139923096,83.2334442139,252.24798584,273.54309082,184.139923096,225.204650879,253.303527832,273.660766602,623.573913574
486400.0,2067200.0,-645.57611084,248.498855591,252.859161377,273.492431641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.139923096,228.207061768,251.990631104,273.573425293,-301.750091553,264.563415527,252.672607422,273.632354736,1394.47460938,108.583778381,239.90927124,273.430725098,513.680236816,278.768310547,243.842926025,273.503875732,149.084335327,177.91960144,248.37727356,273.765869141,-645.57611084,316.490478516,253.516952515,273.477020264,-645.57611084,128.487030029,253.328826904,273.51461792,-645.57611084,255.743255615,254.10874939,273.487304688,1017.75823975
608000.0,2067200.0,-301.750091553,264.563415527,252.672607422,273.632354736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-645.57611084,248.498855591,252.859161377,273.492431641,0.0,0.0,0.0,0.0,513.680236816,278.768310547,243.842926025,273.503875732,149.084335327,177.91960144,248.37727356,273.765869141,-592.99041748,260.291351318,251.544555664,274.205322266,-301.750091553,346.513305664,253.186904907,273.621490479,-301.750091553,179.246109009,253.244613647,273.655487061,-301.750091553,295.607330322,253.752716064,273.62701416,407.566711426
-364800.0,1945600.0,-282.81842041,272.090698242,251.84274292,272.504516602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.062652588,477.342010498,251.772140503,272.623657227,0.0,0.0,0.0,0.0,229.680038452,265.026428223,249.6459198,272.580932617,-383.329071045,441.346588135,251.000061035,272.759002686,-738.357055664,299.737640381,250.590286255,272.777954102,1041.94274902,131.858947754,243.878311157,272.633239746,-282.81842041,459.900390625,254.094787598,272.242797852,-282.81842041,229.07862854,252.201126099,272.449432373,-282.81842041,407.519775391,253.779067993,272.41192627,442.662597656
-243200.0,1945600.0,229.680038452,265.026428223,249.6459198,272.580932617,0.0,0.0,0.0,0.0,-273.062652588,477.342010498,251.772140503,272.623657227,-342.84765625,595.044677734,250.709625244,272.685424805,-282.81842041,272.090698242,251.84274292,272.504516602,432.447662354,502.896789551,244.961532593,272.680297852,-738.357055664,299.737640381,250.590286255,272.777954102,1041.94274902,131.858947754,243.878311157,272.633239746,17.7332897186,184.513183594,238.260498047,272.693267822,229.680038452,443.551177979,251.78086853,272.60055542,229.680038452,189.351791382,250.040939331,272.43359375,229.680038452,373.394287109,251.639312744,272.518096924,780.40020752
