x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2018,precipitation_2018,air_temperature_2018,ocean_temperature_2018,bed_rock_elevation_2019,precipitation_2019,air_temperature_2019,ocean_temperature_2019,bed_rock_elevation_2020,precipitation_2020,air_temperature_2020,ocean_temperature_2020,ice_thickness
-243200.0,2067200.0,-273.118438721,694.302368164,253.396392822,272.05456543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.003112793,793.204956055,252.335540771,272.396392822,-282.730438232,391.196960449,253.244857788,272.305511475,229.827178955,432.807128906,251.111953735,272.505950928,432.628936768,696.748779297,246.535400391,272.468688965,-273.118438721,410.801391602,253.281814575,272.622894287,-273.118438721,491.494384766,252.523529053,272.350097656,-273.118438721,274.61807251,251.1431427,272.569519043,740.118041992
-121600.0,2067200.0,-343.003112793,793.204956055,252.335540771,272.396392822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.118438721,694.302368164,253.396392822,272.05456543,-707.978820801,540.634643555,251.574798584,272.686096191,229.827178955,432.807128906,251.111953735,272.505950928,432.628936768,696.748779297,246.535400391,272.468688965,475.364776611,436.879272461,247.532562256,272.725952148,-343.003112793,483.833526611,252.216217041,272.675292969,-343.003112793,571.48059082,251.27130127,272.572235107,-343.003112793,376.364501953,249.994003296,272.651733398,467.045196533
0.0,2067200.0,-707.978820801,540.634643555,251.574798584,272.686096191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.003112793,793.204956055,252.335540771,272.396392822,-359.786651611,426.26361084,252.981445312,273.147125244,432.628936768,696.748779297,246.535400391,272.468688965,475.364776611,436.879272461,247.532562256,272.725952148,1868.30334473,266.720550537,241.344421387,273.032897949,-707.978820801,299.976318359,251.63470459,272.755767822,-707.978820801,364.058898926,250.473312378,272.731567383,-707.978820801,236.242752075,249.36340332,272.757141113,372.381744385
121600.0,2067200.0,-359.786651611,426.26361084,252.981445312,273.147125244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.978820801,540.634643555,251.574798584,272.686096191,-439.278869629,513.839477539,251.814788818,273.57220459,475.364776611,436.879272461,247.532562256,272.725952148,1868.30334473,266.720550537,241.344421387,273.032897949,2459.96337891,319.664550781,239.49206543,273.281219482,-359.786651611,187.766326904,253.046707153,273.398284912,-359.786651611,294.093780518,251.891143799,273.341888428,-359.786651611,154.121337891,251.038818359,273.399780273,824.195068359
243200.0,2067200.0,-439.278869629,513.839477539,251.814788818,273.57220459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-359.786651611,426.26361084,252.981445312,273.147125244,183.40864563,330.37310791,252.608200073,273.468841553,1868.30334473,266.720550537,241.344421387,273.032897949,2459.96337891,319.664550781,239.49206543,273.281219482,1394.18005371,171.275619507,240.650680542,273.390380859,-439.278869629,312.403198242,251.85697937,273.707458496,-439.278869629,411.272918701,250.756362915,273.678863525,-439.278869629,264.175140381,249.864318848,273.723907471,526.279296875
364800.0,2067200.0,183.40864563,330.37310791,252.608200073,273.468841553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-439.278869629,513.839477539,251.814788818,273.57220459,-646.074645996,355.610351562,253.47492981,273.44039917,2459.96337891,319.664550781,239.49206543,273.281219482,1394.18005371,171.275619507,240.650680542,273.390380859,513.421081543,354.820526123,244.285430908,273.44708252,183.40864563,145.106903076,252.816467285,273.64553833,183.40864563,223.010025024,251.621490479,273.593322754,183.40864563,90.188583374,250.750473022,273.58416748,631.041564941
486400.0,2067200.0,-646.074645996,355.610351562,253.47492981,273.44039917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.40864563,330.37310791,252.608200073,273.468841553,-302.341949463,371.807312012,253.051345825,273.584747314,1394.18005371,171.275619507,240.650680542,273.390380859,513.421081543,354.820526123,244.285430908,273.44708252,148.647033691,270.205078125,248.54838562,273.70791626,-646.074645996,192.734375,253.759216309,273.494720459,-646.074645996,239.861541748,252.469558716,273.4871521,-646.074645996,142.104187012,251.588256836,273.501800537,1027.17480469
608000.0,2067200.0,-302.341949463,371.807312012,253.051345825,273.584747314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-646.074645996,355.610351562,253.47492981,273.44039917,0.0,0.0,0.0,0.0,513.421081543,354.820526123,244.285430908,273.44708252,148.647033691,270.205078125,248.54838562,273.70791626,-593.490539551,376.233703613,251.588058472,274.159057617,-302.341949463,248.719787598,253.701019287,273.636566162,-302.341949463,255.043365479,252.269561768,273.629455566,-302.341949463,181.96963501,251.384429932,273.64175415,412.829711914
-364800.0,1945600.0,-282.730438232,391.196960449,253.244857788,272.305511475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-273.118438721,694.302368164,253.396392822,272.05456543,0.0,0.0,0.0,0.0,229.827178955,432.807128906,251.111953735,272.505950928,-383.442077637,567.721435547,252.435928345,272.590545654,-738.273742676,399.576965332,251.903137207,272.609710693,1042.06860352,267.694702148,245.231277466,272.542236328,-282.730438232,349.546813965,253.463256836,272.537445068,-282.730438232,313.329284668,252.4009552,272.386016846,-282.730438232,165.662689209,251.208145142,272.470397949,438.056060791
-243200.0,1945600.0,229.827178955,432.807128906,251.111953735,272.505950928,0.0,0.0,0.0,0.0,-273.118438721,694.302368164,253.396392822,272.05456543,-343.003112793,793.204956055,252.335540771,272.396392822,-282.730438232,391.196960449,253.244857788,272.305511475,432.628936768,696.748779297,246.535400391,272.468688965,-738.273742676,399.576965332,251.903137207,272.609710693,1042.06860352,267.694702148,245.231277466,272.542236328,17.8515644073,326.014831543,239.794387817,272.545654297,229.827178955,254.465713501,251.107925415,272.558441162,229.827178955,277.201171875,250.125198364,272.553436279,229.827178955,105.132522583,249.025588989,272.597564697,777.942382812
